time,open,high,low,close,EMA1,EMA2,EMA3,EMA4,Fractal High,Fractal Low,HH,LH,LL,HL,ATR
92932200,0.45834,0.45834,0.45834,0.45834,,,,,0,0,0,0,0,0,
93537000,0.449081,0.449081,0.444451,0.444451,,,,,0,0,0,0,0,0,
94141800,0.435192,0.435192,0.430562,0.430562,,,,,0,0,0,0,0,0,
94746600,0.430562,0.430562,0.425932,0.430562,,,,,0,1,0,0,0,0,
95351400,0.509267,0.592601,0.509267,0.592601,,,0.47130320000000003,,1,0,0,0,0,0,
95956200,0.574083,0.583342,0.564823,0.564823,,,0.5024764666666667,,0,0,0,0,0,0,
96561000,0.527786,0.527786,0.518526,0.518526,,,0.5078263111111111,,0,0,0,0,0,0,
97165800,0.541675,0.578712,0.541675,0.574083,,,0.529911874074074,,0,0,0,0,0,0,
97770600,0.564823,0.564823,0.555564,0.560194,,,0.5400059160493826,,0,0,0,0,0,0,
98375400,0.564823,0.564823,0.513897,0.513897,0.5088039,,0.5313029440329218,,0,0,0,0,0,0,
98980200,0.509267,0.509267,0.486118,0.486118,0.5046791909090909,,0.5162412960219478,,0,0,0,0,0,0,
99585000,0.444451,0.46297,0.444451,0.449081,0.4945704289256198,,0.49385453068129853,,0,0,0,0,0,0,
100189800,0.449081,0.449081,0.444451,0.444451,0.48545780548459805,,0.4773866871208657,,0,0,0,0,0,0,
100794600,0.444451,0.444451,0.402784,0.402784,0.4704262044873984,,0.45251912474724376,,0,0,0,0,0,0,0.03670685714285715
101399400,0.393524,0.393524,0.361117,0.393524,0.4564439854896896,,0.43285408316482915,,0,0,0,0,0,0,0.0370611530612245
102004200,0.398154,0.402784,0.365746,0.365746,0.43995344267338243,,0.4104847221098861,,0,0,0,0,0,0,0.03705949927113703
102609000,0.361117,0.361117,0.361117,0.361117,0.42561954400549473,,0.39402881473992407,,0,0,0,0,0,0,0.03474303503748439
103213800,0.365746,0.370376,0.361117,0.361117,0.4138918087317684,,0.38305820982661604,,0,0,0,0,0,0,0.032922746820521216
103818600,0.356487,0.361117,0.351857,0.361117,0.404296388962356,,0.375744473217744,,0,0,0,0,0,0,0.03123255061905542
104423400,0.356487,0.356487,0.342598,0.342598,0.3930785000601094,0.45278460000000004,0.36469564881182936,,0,0,0,0,0,0,0.03032443986055146
105024600,0.342598,0.342598,0.324079,0.324079,0.3805331364128168,0.44052692380952385,0.3511567658745529,,0,0,0,0,0,0,0.029481194156226357
105629400,0.319449,0.356487,0.319449,0.356487,0.37616111161048643,0.43252312154195016,0.3529335105830353,,0,0,0,0,0,0,0.03002096600221019
106234200,0.356487,0.356487,0.337968,0.337968,0.3692169094994889,0.42351787187128825,0.34794500705535686,,0,0,0,0,0,0,0.02919939700205232
106839000,0.319449,0.319449,0.296301,0.296301,0.35595947140867273,0.41140197931211797,0.33073033803690455,,0,0,0,0,0,0,0.030089940073334296
107443800,0.296301,0.296301,0.236115,0.236115,0.33416956751618676,0.39470798128239243,0.29919189202460306,,0,0,0,0,0,0,0.0322396586395247
108048600,0.240744,0.250004,0.222226,0.250004,0.3188667370586983,0.3809266497316884,0.282795928016402,,0,1,0,0,0,0,0.03192096873670151
108653400,0.296301,0.319449,0.296301,0.296301,0.3147638757752986,0.37286706404295616,0.28729761867760134,,0,0,0,0,0,0,0.03460125668407998
