time,open,high,low,close,EMA1,EMA2,EMA3,EMA4,Fractal High,Fractal Low,HH,LH,LL,HL,ATR
863443800,0.121874,0.124999,0.085416,0.086457,,,,,0,0,0,0,0,0,
864048600,0.08802,0.088541,0.065624,0.074999,,,,,0,0,0,0,0,0,
864653400,0.07552,0.082291,0.072916,0.074999,,,,,0,0,0,0,0,0,
865258200,0.07552,0.085416,0.068749,0.082812,,,,,0,0,0,0,0,0,
865863000,0.082812,0.085416,0.076562,0.079166,,,0.0796866,,0,0,0,0,0,0,
866467800,0.080208,0.080208,0.074739,0.076301,,,0.07855806666666666,,0,0,0,0,0,0,
867072600,0.077083,0.077083,0.073958,0.074478,,,0.07719804444444445,,0,0,0,0,0,0,
867677400,0.07552,0.095832,0.073958,0.095572,,,0.0833226962962963,,0,0,0,0,0,0,
868282200,0.091666,0.128645,0.091666,0.114582,,,0.09374246419753086,,1,0,0,0,0,0,
868887000,0.116145,0.124738,0.105728,0.107811,0.0867177,,0.09843197613168725,,0,0,0,0,0,0,
869491800,0.108853,0.116666,0.103124,0.111457,0.09121575454545454,,0.10277365075445817,,0,0,0,0,0,0,
870096600,0.111457,0.125259,0.110936,0.120832,0.09660052644628099,,0.10879310050297211,,1,0,0,0,0,0,
870701400,0.118749,0.120572,0.105207,0.114582,0.09986988527422991,,0.11072273366864807,,0,0,0,0,0,0,
871306200,0.114582,0.116666,0.096874,0.105728,0.10093499704255174,,0.10905782244576538,,0,1,0,0,0,0,0.017652500000000005
871911000,0.102603,0.110416,0.098437,0.106249,0.10190117939845142,,0.10812154829717692,,0,0,0,0,0,0,0.017247250000000002
872515800,0.105207,0.11979,0.105207,0.116926,0.10463296496236935,,0.11105636553145128,,0,0,0,0,0,0,0.017056946428571428
873120600,0.117186,0.133332,0.115624,0.124999,0.10833588042375673,,0.11570391035430085,,0,0,0,0,0,0,0.01710345025510204
873725400,0.126561,0.184894,0.124999,0.184373,0.12216081125580097,,0.13859360690286723,,0,0,0,0,0,0,0.020159989522594752
874330200,0.183332,0.204165,0.152603,0.197394,0.13583957284565534,,0.15819373793524483,,0,0,0,0,0,0,0.022402990270980843
874935000,0.199998,0.240623,0.197394,0.208331,0.14901983232826346,0.1129024,0.17490615862349654,,1,0,0,0,0,0,0.02389056239448221
875539800,0.20729,0.224998,0.190102,0.200779,0.15843059008676103,0.12127160000000001,0.18353043908233102,,0,0,0,0,0,0,0.024676665080590625
876144600,0.199998,0.209373,0.183332,0.19505,0.16508866461644084,0.1282981142857143,0.187370292721554,,0,0,0,0,0,0,0.024774117574834147
876749400,0.196352,0.205206,0.17604,0.181248,0.16802672559526977,0.1333409605442177,0.185329528481036,,0,1,0,0,0,0,0.025087823462345997
877354200,0.183852,0.253122,0.183332,0.2513,0.18316732094158436,0.14457515477810173,0.207319685654024,,0,0,0,0,0,0,0.02842969321503557
877962600,0.240102,0.274997,0.193748,0.254164,0.19607580804311447,0.15501218765637775,0.22293445710268267,,1,0,0,0,0,0,0.032202500842533024
878567400,0.260935,0.260935,0.219269,0.223956,0.2011449338534573,0.16157826502243702,0.22327497140178845,,0,0,0,0,0,0,0.032878465068066375
879172200,0.224998,0.228123,0.183332,0.208331,0.20245149133464688,0.16603090644887158,0.2182936476011923,,0,1,0,0,0,0,0.03372936042034735
879777000,0.211456,0.230206,0.210935,0.224477,0.206456129273802,0.17159720107278859,0.22035476506746154,,0,0,0,0,0,0,0.03288262039032253
880381800,0.218748,0.220831,0.202081,0.206248,0.20641828758765618,0.17489727716109443,0.21565251004497435,,0,0,0,0,0,0,0.032133576076728065
880986600,0.211977,0.229685,0.206769,0.229685,0.21064859893535506,0.18011515552670448,0.22033000669664957,,0,0,0,0,0,0,0.031512392071247494
881591400,0.227081,0.241664,0.219789,0.227081,0.21363630821983595,0.18458809309558977,0.22258033779776637,,1,0,0,0,0,0,0.030824006923301246
882196200,0.229164,0.233331,0.208331,0.224998,0.21570207036168396,0.18843665565791456,0.22338622519851092,,0,0,0,0,0,0,0.03040800642877973
882801000,0.224998,0.23906,0.221612,0.226039,0.21758151211410506,0.19201783130954175,0.22427048346567394,,0,0,0,0,0,0,0.029482291683866894
883405800,0.229164,0.252081,0.22656,0.247914,0.2230965099115405,0.19734127594672826,0.23215165564378262,,1,0,0,0,0,0,0.02923655656359069
884010600,0.244268,0.246873,0.211456,0.213019,0.2212642353821695,0.19883439252323032,0.22577410376252174,,0,0,0,0,0,0,0.02975237395190564
884615400,0.208331,0.250518,0.20729,0.239581,0.22459455622177504,0.2027150218067322,0.23037640250834782,,0,1,0,0,0,0,0.030714918669626667
885220200,0.241143,0.267185,0.240623,0.246873,0.2286451823632705,0.20692054353942438,0.23587526833889855,,1,0,0,0,0,0,0.030492710193224765
885825000,0.248956,0.253122,0.231248,0.245831,0.2317698764790395,0.21062630129757443,0.2391938455592657,,0,0,0,0,0,0,0.029877088036565854
886429800,0.247393,0.262497,0.243748,0.24531,0.23423171711921412,0.21392951069780544,0.24123256370617713,,0,0,0,0,0,0,0.029082224605382574
887034600,0.245831,0.273174,0.238539,0.259372,0.23880267764299337,0.21825736682182398,0.24727904247078475,,0,0,0,0,0,0,0.02947885141928382
887639400,0.260935,0.264581,0.252602,0.263539,0.24330019079881277,0.2225699033149836,0.2526990283138565,,0,0,0,0,0,0,0.02822886203219212
888244200,0.264581,0.331768,0.260414,0.32083,0.2573965197444832,0.23192800776117564,0.2754093522092377,,0,0,0,0,0,0,0.031309229029892686
888849000,0.316143,0.328122,0.291664,0.319788,0.26874042524548625,0.24029562606963512,0.2902022348061585,,0,0,0,0,0,0,0.03167699838490035
889453800,0.320309,0.367705,0.319788,0.327861,0.27948962065539784,0.24863518549157462,0.302755156537439,,1,0,0,0,0,0,0.032836998500264614
890058600,0.331507,0.36458,0.324476,0.349997,0.29230914417259823,0.25828869163523416,0.318502437691626,,0,0,0,0,0,0,0.03335607003596
890663400,0.348174,0.363017,0.331247,0.354163,0.3035552997775804,0.26741957814616424,0.33038929179441734,,0,0,0,0,0,0,0.03324277931910571
891268200,0.357809,0.403121,0.348955,0.387496,0.3188172452725658,0.27885542784652956,0.34942486119627825,,0,0,0,0,0,0,0.03473729508202673
891869400,0.392704,0.399996,0.353121,0.396871,0.33300883704119016,0.29009500614686007,0.3652402407975188,,0,0,0,0,0,0,0.0356042740047391
892474200,0.395309,0.416663,0.38333,0.395309,0.3443361393973374,0.3001153865138258,0.37526316053167924,,1,0,0,0,0,0,0.035442040147257735
893079000,0.397392,0.414579,0.335413,0.353642,0.346028114052367,0.30521315922679476,0.3680561070211195,0.205576,0,0,0,0,0,0,0.038565180136739326
893683800,0.347392,0.414579,0.321351,0.393746,0.354704093315573,0.3136448583480524,0.37661940468074634,0.2129552156862745,0,1,0,0,0,0,0.04246966726982937
894288600,0.395829,0.399475,0.367705,0.384892,0.3601928036218325,0.32043030041014264,0.3793769364538309,0.21969783467896964,0,0,0,0,0,0,0.04170540532198441
894893400,0.387236,0.394267,0.360413,0.373434,0.3626002938724084,0.3254782717996529,0.3773959576358873,0.22572670390724534,0,0,0,0,0,0,0.041144590656128376
895498200,0.374996,0.381246,0.356246,0.35833,0.36182387680469774,0.3286070078187336,0.3710406384239249,0.23092683316578475,0,0,0,0,0,0,0.039991405609262065
896103000,0.35859,0.37083,0.332288,0.367184,0.36279844465838906,0.3322810070740923,0.3697550922826166,0.23627025147300887,0,1,0,0,0,0,0.03988787663717192
896707800,0.366663,0.37708,0.343747,0.368746,0.3638798183568638,0.3357538635432264,0.3694187281884111,0.2414653788662242,0,0,0,0,0,0,0.03941967116308821
897312600,0.365101,0.529161,0.362496,0.508328,0.3901431241101613,0.35218949558672863,0.41572181879227404,0.2519305796949997,0,0,0,0,0,0,0.04850862322286763
897917400,0.495828,0.687493,0.492703,0.631765,0.43407437427195017,0.3788157341022783,0.48773621252818267,0.2668260471579409,0,0,0,0,0,0,0.058957292992662794
898522200,0.62291,0.872908,0.602077,0.785409,0.4979533971315956,0.4175389022830137,0.5869604750187885,0.287162633543904,0,0,0,0,0,0,0.0740911292074726
899127000,0.789575,1.045823,0.789575,1.033323,0.595293324925851,0.4761850068274886,0.7357479833458589,0.3164238243853195,0,0,0,0,0,0,0.08739990569265313
899731800,1.061448,1.197905,0.8177,0.829158,0.6378141749393326,0.5098014823677278,0.766884655563906,0.3365310469584442,0,0,0,0,0,0,0.10831455528603505
900336600,0.804159,1.004157,0.785409,0.998428,0.703380324950363,0.556337341189849,0.8440657703759373,0.3624877902149758,0,1,0,0,0,0,0.11620265847988968
900941400,1.009365,1.224988,0.97499,1.035406,0.7637486295048425,0.6019629277431967,0.9078458469172915,0.3888767396183101,1,0,0,0,0,0,0.12575946858846898
901546200,0.992698,1.061448,0.879158,0.923949,0.792875969594871,0.6326282679581303,0.9132135646115277,0.40985996551563125,0,0,0,0,0,0,0.12979736368929262
902151000,0.914574,0.990615,0.833325,0.966657,0.8244725205776218,0.6644405281525941,0.9310280430743518,0.4316951433385477,0,1,0,0,0,0,0.1317611234257717
902755800,0.97499,1.124989,0.958324,1.022906,0.8605513350180541,0.6985800968999661,0.9616540287162346,0.4548798828154674,0,0,0,0,0,0,0.134254257466788
903360600,1.00624,1.114572,0.98749,1.080718,0.9005816377420444,0.7349741829094931,1.0013420191441564,0.4794225540776059,0,0,0,0,0,0,0.13374195336201744
903965400,1.085406,1.145822,0.860408,0.882413,0.8972782490616726,0.7490159750133509,0.9616990127627709,0.4952261009765233,1,0,0,0,0,0,0.1445756709790162
904570200,0.878637,0.896991,0.541661,0.718743,0.8648172946868231,0.746132834535889,0.8807136751751806,0.5039914695656793,0,1,0,0,0,0,0.15962955162337217
905175000,0.783326,0.789575,0.612494,0.633848,0.8228228774710371,0.7354390407705662,0.7984251167834537,0.5090838825238879,0,0,0,0,0,0,0.16087608365027414
905779800,0.669785,0.716139,0.586452,0.664056,0.7939561724763031,0.7286406559352742,0.7536354111889692,0.5151612204641276,0,0,0,0,0,0,0.15864829196096886
906384600,0.633327,0.973949,0.633327,0.910408,0.8151292320260662,0.7459518315604862,0.8058929407926461,0.5306610941714167,0,0,0,0,0,0,0.17164641396375677
906989400,0.969782,0.99999,0.833325,0.918741,0.8339677352940542,0.7624079428404399,0.8435089605284307,0.5458799140078318,1,0,0,0,0,0,0.1712905986806313
907594200,0.907283,0.935407,0.66666,0.759888,0.8204986925133171,0.7621679482842075,0.8156353070189538,0.5542723879683089,0,0,0,0,0,0,0.17825177020344335
908199000,0.809367,0.849471,0.747909,0.828638,0.8219785666018049,0.7684984293999972,0.8199695380126358,0.5650318237342575,0,0,0,0,0,0,0.17277392947462597
908803800,0.824992,0.985928,0.824992,0.967699,0.8484731908560222,0.7874699123142832,0.8692126920084239,0.5808226933917376,0,0,0,0,0,0,0.17192836308358125
909412200,0.992698,1.08176,0.952074,1.053635,0.8857753379731091,0.8128189682843515,0.9306867946722827,0.5993643524744146,0,0,0,0,0,0,0.16891105143475402
910017000,1.067698,1.108843,1.033323,1.03801,0.9134543674325438,0.8342657332096514,0.9664611964481885,0.6165661425734571,0,0,0,0,0,0,0.1622402620465573
910621800,1.015615,1.166655,1.00624,1.064573,0.9409304824448086,0.856199758618256,0.999165130965459,0.6341350389431254,0,0,0,0,0,0,0.16210988618608893
911226600,1.070823,1.514568,1.029156,1.505193,1.0435236674548434,0.9180086387498507,1.167841087310306,0.668294174670846,0,0,0,0,0,0,0.18520289431565404
911831400,1.590609,1.942689,1.550505,1.80519,1.1820084551903265,1.0025021017260554,1.3802907248735374,0.712878324683754,1,0,0,0,0,0,0.2032238304359645
912436200,1.83019,1.835398,1.516652,1.570818,1.2527010997011763,1.056627425371193,1.4437998165823582,0.7465230178334107,0,0,0,0,0,0,0.21147541397625277
913041000,1.608317,1.869252,1.542693,1.858315,1.362812717937326,1.1329786229548888,1.5819715443882387,0.790122703408571,0,0,0,0,0,0,0.21969567012080615
913645800,1.84269,2.514558,1.816649,2.389039,1.549399314675994,1.252603420768709,1.850994029592159,0.8528253032749016,0,0,0,0,0,0,0.25385376511217717
914250600,2.529141,2.749973,2.499975,2.706744,1.7598256210985406,1.3910929997431176,2.136244019728106,0.9255279972641212,0,0,0,0,0,0,0.26150235331845023
914855400,2.758306,3.015595,2.532266,2.677057,1.9265949627169878,1.5135657616723446,2.3165150131520704,0.9942154091361164,0,0,0,0,0,0,0.2773471137957038
915460200,2.730702,4.978125,2.6625,4.00625,2.304714060404808,1.7509642605606928,2.879760008768047,1.112334412699406,1,0,0,0,0,0,0.422938391381725
916065000,4.6,4.625,3.125,3.509375,2.523743322149388,1.918431950031103,3.089631672512031,1.2063360043582527,0,0,0,0,0,0,0.4998713634258875
916669800,3.7625,3.7625,2.314063,3.075,2.6239718090313175,2.028581288123379,3.084754448341354,1.2796169453638115,0,1,0,0,0,0,0.5676260517526098
917274600,3.0375,3.49375,2.75,2.923438,2.67842020738926,2.1138057368735335,3.030982298894236,1.3440805161338583,0,0,0,0,0,0,0.5802063337702805
917879400,2.94375,3.16875,2.7125,2.896875,2.718139260591213,2.188383761933197,2.9862798659294905,1.4049744174619423,0,0,0,0,0,0,0.5713523099295462
918484200,2.859375,2.878125,2.375,2.6125,2.6989321223019016,2.228775784606226,2.861686577286327,1.4523283618751994,0,0,0,0,0,0,0.5678182163631501
919089000,2.671875,2.7125,2.10625,2.546875,2.671285372792465,2.2590709479770616,2.7567493848575513,1.495251759448721,0,1,0,0,0,0,0.5705633437657822
919693800,2.54375,3.25,2.45,3.203125,2.7679834868301985,2.348980857693532,2.9055412565717007,1.5622271806468102,0,0,0,0,0,0,0.5869516763539406
920298600,3.175,3.401563,2.896875,3.0375,2.816986489224708,2.414554109341767,2.949527504381134,1.6200810166998765,0,0,0,0,0,0,0.5810756994715164
920903400,3.035938,3.56875,2.98125,3.332813,2.9107731275474884,2.5020073370235036,3.0772893362540894,1.687246976829293,0,0,0,0,0,0,0.5815345780806938
921508200,3.325,3.576563,3.20625,3.376563,2.9954621952661267,2.585298352545075,3.177047224169393,1.753494664012458,0,0,0,0,0,0,0.5664473225035014
922113000,3.329688,3.69375,2.85,3.476563,3.0829350688541037,2.670180699921734,3.2768858161129284,1.821065971306087,0,1,0,0,0,0,0.5862546566103941
922717800,3.75,4.503125,3.7,4.275,3.2996741472442666,2.823020633262521,3.6095905440752856,1.9172986783136916,0,0,0,0,0,0,0.6177051811382231
923319000,4.315625,4.89375,4.15,4.571875,3.5309833931998544,2.9895781919994238,3.9303520293835237,2.0213997105366843,0,0,0,0,0,0,0.6267083824854929
923923800,4.403125,4.8,3.775,4.75,3.752622776254426,3.1572374118090023,4.2035680195890155,2.1284036434568145,0,0,0,0,0,0,0.6551577837365291
924528600,4.725,5.4125,3.8375,5.253125,4.025441362389985,3.3568457535414784,4.553420346392677,2.250941735870273,0,0,0,0,0,0,0.7208607991839199
925133400,5.225,5.53125,4.125,4.301563,4.075645296500897,3.446818824632766,4.469467897595118,2.331358256032223,1,0,0,0,0,0,0.7698171706707828
925738200,4.171875,4.176563,3.275,3.409375,3.9545052425916434,3.443252746096312,4.116103598396745,2.3736334224623317,0,0,0,0,0,0,0.7881561584800126
926343000,3.415625,3.846875,3.245313,3.309375,3.8372088348477082,3.43050248456333,3.8471940655978303,2.410329170601064,0,0,0,0,0,0,0.7748280043028688
926947800,3.25,3.490625,3.0375,3.214063,3.723909592148125,3.409889200319203,3.63615037706522,2.441848144302983,0,0,0,0,0,0,0.7518492182812354
927552600,3.215625,3.234375,2.6125,2.96875,3.586607848121193,3.3678759431459455,3.4136835847101468,2.462510962173454,0,0,0,0,0,0,0.7425653455468615
928157400,2.7875,2.875,2.428125,2.710938,3.4273951484627942,3.3053104247510934,3.179435056473431,2.4722531989509657,0,0,0,0,0,0,0.7281410351506572
928762200,2.714063,3.034375,2.61875,2.645313,3.2851983941968315,3.2424535271557513,3.0013943709822875,2.479039857815634,0,0,0,0,0,0,0.7058184612113246
929367000,2.598438,2.978125,2.24375,2.782813,3.193855595251953,3.1986782388552037,2.9285339139881916,2.490952530058158,0,1,0,0,0,0,0.7078582139819443
929971800,2.839063,3.2375,2.703125,2.754688,3.1140069415697798,3.1563934542023273,2.8705852759921275,2.5012950975068575,0,0,0,0,0,0,0.6954665558403769
930576600,2.775,3.23125,2.560938,3.101563,3.111744406738911,3.151171506183058,2.9475778506614185,2.5248350152516865,0,0,0,0,0,0,0.6936698018517785
931181400,3.2,3.332813,3,3.1375,3.116427241877291,3.1498694579751474,3.010885233774279,2.5488610930849536,0,0,0,0,0,0,0.667894316005223
931786200,3.125,3.5625,2.875,3.440625,3.1753722888086924,3.177560461977514,3.154131822516186,2.583832226689465,1,0,0,0,0,0,0.6692947220048499
932391000,3.4,3.415625,2.579688,2.864063,3.1187705999343844,3.1477035608367987,3.0574422150107905,2.5948216687800745,0,0,0,0,0,0,0.6829834561473606
932995800,2.760938,2.8875,2.4375,2.501563,3.006551036309951,3.0861663645666275,2.872149143340527,2.591164466082817,0,0,0,0,0,0,0.6663417807082634
933600600,2.459375,2.553125,2.05,2.239063,2.867007756980869,3.0054898536555203,2.6611204288936845,2.577356565452118,0,0,0,0,0,0,0.6546834392291018
934205400,2.2875,2.435938,2.05,2.435938,2.7886314375298022,2.9512468199740423,2.5860596192624565,2.5718107393559566,0,0,0,0,0,0,0.6354873364270232
934810200,2.45625,2.9375,2.3875,2.835938,2.7972326307062017,2.940265027595562,2.6693524128416377,2.582168671145919,0,0,0,0,0,0,0.6293810981108072
935415000,2.898438,3.389063,2.89375,3.2125,2.8727357887596194,2.966192167824556,2.850401608561092,2.6068875467872554,0,0,0,0,0,0,0.6239342339600353
936019800,3.189063,3.25,2.804688,3.121875,2.9180338271669615,2.9810191042222174,2.940892739040728,2.6270831331877553,0,0,0,0,0,0,0.6111755029628899
936624600,3.190625,3.4,3.046875,3.325,2.9920276767729685,3.0137791895343873,3.0689284926938187,2.654452422082353,0,0,0,0,0,0,0.5927433241798263
937229400,3.28125,3.396875,3.125,3.190625,3.028136280996065,3.0306216476739696,3.1094939951292124,2.6754787976869667,0,0,0,0,0,0,0.5698241581669816
937834200,3.184375,3.4375,3.034375,3.25,3.0684751389967806,3.0515148240859724,3.1563293300861415,2.6980090409149287,0,1,0,0,0,0,0.5579170754407686
938439000,3.309375,4.25,3.05625,3.8625,3.2128432955428203,3.128751507506356,3.391719553390761,2.7436753530359117,0,0,0,0,0,0,0.6033337129092852
939043800,3.971875,4.5,3.7375,4.4625,3.4400536054441258,3.2557751734581317,3.748646368927174,2.8110802411521503,1,0,0,0,0,0,0.6147027334157649
939648600,4.45625,4.46875,3.696875,3.753125,3.4969756771815574,3.3031418236049763,3.7501392459514493,2.848023172871674,0,0,0,0,0,0,0.6259293238860674
940253400,3.753125,4.18125,3.553125,3.93125,3.5759346449667286,3.362961649928312,3.8105094973009663,2.890502656288471,0,0,0,0,0,0,0.6260861578942054
940858200,3.95,4.215625,3.29375,3.53125,3.5678101640636872,3.378989111839901,3.7174229982006444,2.9156300031006874,0,0,0,0,0,0,0.6472139323303336
941466600,3.403125,3.59375,3.05,3.246875,3.5094583160521076,3.366406815474196,3.5605736654670963,2.9286200029790916,0,1,0,0,0,0,0.6398236514495955
942071400,3.240625,4.153125,3.175,3.746875,3.5526249858608154,3.40264188066713,3.6226741103113977,2.9607084342348133,0,0,0,0,0,0,0.6639880334889101
942676200,3.78125,4,3.665625,3.896875,3.6152158975224853,3.449711701555975,3.714074406874265,2.997420848578546,0,0,0,0,0,0,0.6404442453825593
943281000,3.89375,4.75625,3.8,4.65625,3.8044948252456696,3.5646201109315965,4.028132937916177,3.062472972163701,0,0,0,0,0,0,0.6630017992838051
943885800,4.775,4.84375,4.098438,4.328125,3.8997003115646387,3.6373348622714445,4.128130291944118,3.112106385020027,0,0,0,0,0,0,0.668881099334962
944490600,4.34375,5.65,4.21875,5.334375,4.160550254916522,3.798957732531307,4.5302118612960784,3.1992541738427707,1,0,0,0,0,0,0.7233360208110362
945095400,5.33125,5.33125,4.55,4.703125,4.259200208568064,3.8850689008616586,4.587849574197386,3.2582295003587403,0,0,0,0,0,0,0.7276959478959623
945700200,4.8875,5.0625,4.453125,4.5,4.302981988828416,3.9436337674462627,4.558566382798257,3.3069263826976134,0,0,0,0,0,0,0.7192444516176792
946305000,4.3875,4.4125,3.8,3.80625,4.212667081768704,3.9305495991180472,4.3077942551988375,3.326507701023197,0,0,0,0,0,0,0.7178698479307022
946909800,4.075,4.575,3.2,3.478125,4.079113975992576,3.8874615420591856,4.0312378367992245,3.33245347745366,0,0,0,0,0,0,0.7648077159356521
947514600,3.628125,3.63125,3.15,3.2125,3.9215477985393803,3.823179490434501,3.7583252245328165,3.3277494195143005,0,0,0,0,0,0,0.7445535933688198
948205800,3.171875,3.375,3,3.103125,3.772743653350402,3.754602872297882,3.5399251496885444,3.318940618749034,0,0,0,0,0,0,0.7181569081281898
948724200,3.378125,3.66875,3,3.084375,3.6475857163776015,3.6907716463647504,3.388075099792363,3.309741967033385,0,0,0,0,0,0,0.7146278432618904
949329000,3.01875,4.296875,2.921875,3.928125,3.6985928588544015,3.713376727663346,3.5680917331949087,3.3339922820516836,1,1,0,0,0,0,0.7617972830288983
949933800,3.809375,4.2,3.65625,3.809375,3.7187350663354195,3.7225194202668366,3.6485194887966057,3.3526347415790685,0,0,0,0,0,0,0.7462224770982626
950538600,3.784375,3.809375,3.19375,3.2375,3.6312377815471613,3.676327094527138,3.5115129925310704,3.348119653674007,0,0,0,0,0,0,0.7368940858769581
951229800,3.246875,3.5875,3.153125,3.45625,3.5994218212658593,3.655367371238839,3.4930919950207135,3.3523600594122813,0,0,0,0,0,0,0.7152855797428896
951748200,3.328125,3.448438,3.103125,3.125,3.5131633083084304,3.604856193025616,3.370394663347142,3.3434439786510155,0,0,0,0,0,0,0.6894169669041118
952353000,3.14375,3.45,3.028125,3.34375,3.4823608886159887,3.579988936546986,3.361513108898095,3.3434559794882306,0,0,0,0,0,0,0.670306826410961
952957800,3.2,3.346875,3,3.240625,3.4384089088676273,3.547668561637749,3.32121707259873,3.3394233920573195,0,1,0,0,0,0,0.6472045530958922
953562600,3.175,3.7625,3.1125,3.634375,3.4740391072553316,3.5559263176722493,3.4256030483991533,3.350990121780562,1,0,0,0,0,0,0.647404227874757
954167400,3.6125,3.75625,3.15,3.35,3.4514865422998167,3.5363142874177496,3.4004020322661024,3.350951293475442,0,0,0,0,0,0,0.6444646401694172
954768600,3.271875,3.43125,2.7875,3.378125,3.4381480800634865,3.5212486409970114,3.3929763548440683,3.3520169290254245,0,0,0,0,0,0,0.6444135944430303
955373400,3.3625,3.421875,2.040625,2.34375,3.239166610961034,3.4091059132830104,3.043234236562712,3.3124770494558,0,1,0,0,0,0,0.6970447662685281
955978200,2.2625,2.8125,2.23125,2.61875,3.1263635907863008,3.333833921541771,2.901739491041808,3.2852720671242,0,0,0,0,0,0,0.6887737115350616
956583000,2.46875,2.871875,2.24375,2.759375,3.059638392461519,3.2791235480616026,2.854284660694539,3.2646486527271725,0,0,0,0,0,0,0.6844416607111288
957187800,2.8,3.015625,2.65,2.925,3.035158684741243,3.2453974958652596,2.877856440463026,3.251329097718264,0,0,0,0,0,0,0.6616690420889053
957792600,2.840625,2.9625,2.45,2.6875,2.9719480147882895,3.192264401020949,2.8144042936420175,3.2292181527097044,0,0,0,0,0,0,0.6510141105111263
958397400,2.68125,3.11875,2.54375,2.63125,2.9100029211904186,3.138834458066573,2.7533528624280117,3.2057684212308923,1,0,0,0,0,0,0.645584531188903
