time,open,high,low,close,EMA1,EMA2,EMA3,EMA4,Fractal High,Fractal Low,HH,LH,LL,HL,ATR
1451917800,37.203,37.203,36.5705,36.669,,,,,0,0,0,0,0,0,
1451925000,36.6975,36.9085,36.6725,36.8055,,,,,0,0,0,0,0,0,
1451932200,36.7785,36.912,36.68,36.6945,,,,,0,0,0,0,0,0,
1451939400,36.728,37.0985,36.728,37.0895,,,,,0,0,0,0,0,0,
1452004200,37.308,37.598,36.944,37.3,,,36.911699999999996,,1,0,0,0,0,0,
1452011400,37.242,37.3705,36.987,37.212,,,37.0118,,0,0,0,0,0,0,
1452018600,37.2655,37.514,37.1245,37.3,,,37.107866666666666,,0,0,0,0,0,0,
1452025800,37.31,37.3435,37.087,37.124,,,37.11324444444445,,0,0,0,0,0,0,
1452090600,36.475,37.2665,36.463,37.222,,,37.1494962962963,,0,1,0,0,0,0,
1452097800,37.2275,37.335,37.1505,37.2175,37.0634,,37.17216419753087,,0,0,0,0,0,0,
1452105000,37.19175,37.3445,36.9545,37.1745,37.083600000000004,,37.172942798353915,,1,0,0,0,0,0,
1452112200,37.2055,37.279,37.1315,37.1855,37.10212727272727,,37.17712853223594,,0,0,0,0,0,0,
1452177000,36.525,36.8945,36.246,36.6685,37.023285950413225,,37.00758568815729,,0,0,0,0,0,0,
1452184200,36.7605,36.7925,36.1685,36.3375,36.89859759579264,,36.78422379210486,,0,0,0,0,0,0,0.4486071428571416
1452191400,36.216,36.5025,35.9845,36.2775,36.78567076019397,,36.61531586140324,,0,0,0,0,0,0,0.453563775510203
1452198600,36.3325,36.429,36.2505,36.252,36.68863971288598,,36.49421057426883,,0,0,0,0,0,0,0.4339163629737599
1452263400,36.5825,36.645,35.9825,36.0035,36.56406885599762,,36.330640382845885,,1,0,0,0,0,0,0.4502437656184914
1452270600,36.0525,36.15,35.7795,35.9255,36.447965427634415,,36.19559358856392,,0,0,0,0,0,0,0.44454778236002773
1452277800,36.023,36.1005,35.877,35.895,36.34742625897361,,36.09539572570928,,0,0,0,0,0,0,0.4287586550485968
1452285000,35.878,35.8835,35.65,35.7195,36.233257848251135,36.703649999999996,35.97009715047285,,0,0,0,0,0,0,0.4156330368308402
1452522600,35.802,35.892,35.3475,35.4165,36.08475642129638,36.581064285714284,35.7855647669819,,0,0,0,0,0,0,0.42483781991435204
1452529800,35.358,35.726,35.3275,35.3275,35.94707343560613,36.46167721088435,35.632876511321264,,0,0,0,0,0,0,0.4229565470633268
1452537000,35.355,35.8325,35.2,35.8025,35.920787356405015,36.398898428895365,35.68941767421418,,0,1,0,0,0,0,0.43792393655880346
