time,open,high,low,close,EMA1,EMA2,EMA3,EMA4,Fractal High,Fractal Low,HH,LH,LL,HL,ATR
1451917800,101.83,102.21,100.08,101.01,,,,,0,0,0,0,0,0,
1451925000,100.99,101.93,100.89,101.68,,,,,0,0,0,0,0,0,
1451932200,101.66,101.95,100.78,101.15,,,,,0,0,0,0,0,0,
1451939400,101.15,102.22,101.15,102.2,,,,,0,0,0,0,0,0,
1452004200,102.91,103.3,101.67,102.54,,,101.71600000000001,,0,0,0,0,0,0,
1452011400,102.56,102.93,102.06,102.91,,,102.114,,0,0,0,0,0,0,
1452018600,102.9,103.69,102.51,102.85,,,102.35933333333334,,0,0,0,0,0,0,
1452025800,102.88,103.115,102.7,102.76,,,102.4928888888889,,0,0,0,0,0,0,
1452090600,101.12,103.75,100.93,103.66,,,102.88192592592593,,1,1,0,0,0,0,
1452097800,103.74,103.74,102.93,103.21,102.397,,102.99128395061729,,0,0,0,0,0,0,
1452105000,103.22,103.37,101.83,102.8,102.47027272727273,,102.92752263374486,,0,0,0,0,0,0,
1452112200,102.81,103.16,102.415,102.97,102.56113223140495,,102.9416817558299,,0,0,0,0,0,0,
1452177000,100.54,101.41,99.52,100.79,102.23910818933133,,102.2244545038866,,0,0,0,0,0,0,
1452184200,100.785,101.17,98.53,98.71,101.59745215490746,,101.05296966925773,,0,0,0,0,0,0,1.5364285714285688
1452191400,98.67,99.2,97.31,98.3,100.99791539946973,,100.13531311283849,,0,1,0,0,0,0,1.5616836734693853
1452198600,98.3,98.7,97.92,97.94,100.44193078138433,,99.40354207522566,,0,0,0,0,0,0,1.5058491253644293
1452263400,99.79,100.5,97.98,98.105,100.01703427567809,,98.9706947168171,,1,0,0,0,0,0,1.5811456164098274
1452270600,98.09,99.68,97.69,98.65,99.76848258919117,,98.86379647787807,,0,0,0,0,0,0,1.6103495009519833
1452277800,98.69,99.18,98.14,98.28,99.49784939115641,,98.66919765191871,,0,0,0,0,0,0,1.5696102508839849
1452285000,98.24,98.24,97.04,97.31,99.10005859276433,100.89125,98.21613176794581,,0,0,0,0,0,0,1.5460666615351284
1452522600,97.87,98.55,96.05,96.49,98.625502484989,100.47208333333333,97.64075451196388,,0,0,0,0,0,0,1.614204757139762
1452529800,96.41,97.83,96.23,96.31,98.20450203317282,100.07569444444444,97.19716967464258,,0,0,0,0,0,0,1.6131901316297785
1452537000,96.32,97.21,95.39,97.15,98.01277439077776,99.79705687830688,97.18144644976172,,0,1,0,0,0,0,1.6279622650847938
1452544200,97.18,97.79,97.05,97.51,97.92136086518181,99.57924193751575,97.29096429984115,,0,0,0,0,0,0,1.5645363890073092
1452609000,99.05,99.95,98.6,98.94,98.1065679806033,99.51836175299044,97.84064286656077,,1,0,0,0,0,0,1.6270695040782155
1452616200,98.94,99.36,98.45,98.75,98.22355562049361,99.44518444318183,98.14376191104051,,0,0,0,0,0,0,1.5758502537869141
1452623400,98.75,99.59,97.56,99.36,98.43018187131295,99.43707163906927,98.54917460736034,,0,1,0,0,0,0,1.6082895213735633
1452630600,99.32,99.85,99.2,99.36,98.59923971289241,99.42973148296744,98.81944973824022,,0,0,0,0,0,0,1.5398402698468796
1452695400,100.5,100.56,98.2,99.2,98.70846885600288,99.4078522941134,98.94629982549348,,1,0,0,0,0,0,1.5984231077149595
1452702600,99.195,99.69,97.73,97.75,98.53420179127508,99.24996159943593,98.54753321699566,,0,0,0,0,0,0,1.624250028592462
1452709800,97.735,97.89,95.27,96.47,98.15889237467961,98.98520335187061,97.85502214466378,,0,0,0,0,0,0,1.6953750265501435
1452717000,96.42,96.57,95.22,95.45,97.66636648837422,98.64851731835913,97.05334809644252,,0,0,0,0,0,0,1.6707053817965616
1452781800,95.58,96.69,92.45,95.43,97.25975439957891,98.34199185946778,96.51223206429502,,0,1,0,0,0,0,1.8542264259539498
1452789000,95.45,97.05,95.04,97,97.2125263269282,98.21418311094705,96.67482137619668,,0,0,0,0,0,0,1.8653531098143812
1452796200,97.02,98.85,96.795,98.39,97.42661244930488,98.23092757657113,97.24654758413112,,1,0,0,0,0,0,1.8788993162562106
1452803400,98.38,98.5,98,98.35,97.59450109488581,98.24226780737388,97.61436505608741,,0,0,0,0,0,0,1.7804065079521956
