time,open,high,low,close,EMA1,EMA2,EMA3,EMA4,Fractal High,Fractal Low,HH,LH,LL,HL,ATR
1451917800,54.33,54.535,53.39,53.67,,,,,0,0,0,0,0,0,
1451925000,53.68,54.08,53.6,53.99,,,,,0,0,0,0,0,0,
1451932200,53.99,54.15,53.81,53.96,,,,,0,0,0,0,0,0,
1451939400,53.955,54.8,53.955,54.78,,,,,0,0,0,0,0,0,
1452004200,54.97,55.32,54.755,54.96,,,54.272000000000006,,0,0,0,0,0,0,
1452011400,54.98,55.13,54.55,54.93,,,54.49133333333334,,0,0,0,0,0,0,
1452018600,54.94,55.38,54.93,55.23,,,54.73755555555556,,1,0,0,0,0,0,
1452025800,55.23,55.36,55.04,55.05,,,54.84170370370371,,0,0,0,0,0,0,
1452090600,54.29,54.4,53.78,54.16,,,54.61446913580247,,0,0,0,0,0,0,
1452097800,54.16,54.31,54.04,54.08,54.480999999999995,,54.43631275720165,,0,0,0,0,0,0,
1452105000,54.08,54.24,53.64,53.985,54.390818181818176,,54.285875171467765,,0,0,0,0,0,0,
1452112200,53.985,54.11,53.88,54.07,54.33248760330578,,54.21391678097851,,0,0,0,0,0,0,
1452177000,52.71,53.48,52.08,52.91,54.07385349361382,,53.77927785398567,,0,1,0,0,0,0,
1452184200,52.905,53.09,52.38,52.64,53.81315285841131,,53.39951856932378,,0,0,0,0,0,0,0.6996428571428568
1452191400,52.64,52.68,52.24,52.3,53.53803415688198,,53.033012379549184,,0,0,0,0,0,0,0.6810969387755097
1452198600,52.3,52.76,52.19,52.2,53.294755219267074,,52.75534158636612,,0,0,0,0,0,0,0.6731614431486876
1452263400,52.44,53.1,52.26,52.35,53.122981543036694,,52.62022772424408,,0,0,0,0,0,0,0.6893641972094955
1452270600,52.36,53.22,52.15,52.98,53.096984898848206,,52.74015181616272,,0,1,0,0,0,0,0.7165524688373887
1452277800,52.99,53.28,52.645,52.69,53.02298764451217,,52.72343454410848,,1,0,0,0,0,0,0.7107272924918607
1452285000,52.69,52.705,52.255,52.36,52.902444436419046,53.664750000000005,52.60228969607232,,0,0,0,0,0,0,0.6921039144567275
1452522600,52.53,52.85,52.01,52.22,52.778363629797404,53.52715476190477,52.47485979738155,,0,0,0,0,0,0,0.7026679205669615
1452529800,52.22,52.58,51.69,51.785,52.59775206074333,53.36123526077098,52.244906531587695,,0,0,0,0,0,0,0.7160487833836072
1452537000,51.79,52.325,51.465,52.25,52.534524413335454,53.255403331173746,52.2466043543918,,0,1,0,0,0,0,0.7263310131419211
1452544200,52.26,52.58,52.215,52.3,52.491883610910826,53.16441253772863,52.26440290292786,,0,0,0,0,0,0,0.7005216550603549
1452609000,52.8,53.1,52.33,52.48,52.489722954381584,53.09923039127828,52.33626860195191,,1,0,0,0,0,0,0.7076272511274727
1452616200,52.47,52.555,52.06,52.32,52.45886423540311,53.0250179730613,52.33084573463461,,0,1,0,0,0,0,0.6924395903326531
1452623400,52.31,52.98,52.07,52.86,52.531798010784364,53.00930197562689,52.5072304897564,,0,0,0,0,0,0,0.7079796195946063
1452630600,52.86,52.95,52.65,52.78,52.57692564518721,52.98746369223385,52.5981536598376,,0,0,0,0,0,0,0.6788382181949919
