time,open,high,low,close,EMA1,EMA2,EMA3,EMA4,Fractal High,Fractal Low,HH,LH,LL,HL,ATR
511108200,0.097223,0.101564,0.088543,0.097223,,,,,0,0,0,0,0,0,
511194600,0.097223,0.102432,0.097223,0.100695,,,,,0,0,0,0,0,0,
511453800,0.100695,0.1033,0.100695,0.102432,,,,,0,0,0,0,0,0,
511540200,0.102432,0.1033,0.098959,0.099827,,,,,0,0,0,0,0,0,
511626600,0.099827,0.100695,0.097223,0.098091,,,0.0996536,,0,0,0,0,0,0,
511713000,0.098091,0.098091,0.094619,0.095487,,,0.09826473333333333,,0,0,0,0,0,0,
511799400,0.095487,0.097223,0.091147,0.092883,,,0.09647082222222221,,0,0,0,0,0,0,
512058600,0.092883,0.092883,0.089411,0.090279,,,0.09440688148148148,,0,0,0,0,0,0,
512145000,0.090279,0.092015,0.089411,0.092015,,,0.09360958765432098,,0,0,0,0,0,0,
512231400,0.092015,0.095487,0.091147,0.094619,0.0963551,,0.09394605843621398,,0,0,0,0,0,0,
512317800,0.094619,0.096355,0.094619,0.096355,0.09635508181818182,,0.09474903895747598,,0,0,0,0,0,0,
512663400,0.096355,0.096355,0.093751,0.095487,0.09619724876033059,,0.09499502597165066,,0,0,0,0,0,0,
512749800,0.095487,0.095487,0.094619,0.094619,0.09591029444027048,,0.09486968398110043,,0,0,0,0,0,0,
512836200,0.094619,0.097223,0.094619,0.095487,0.09583333181476676,,0.09507545598740029,,0,0,0,0,0,0,0.004030285714285714
512922600,0.096355,0.098959,0.096355,0.096355,0.09592818057571825,,0.09550197065826686,,1,0,0,0,0,0,0.003990408163265306
513009000,0.096355,0.097223,0.096355,0.096355,0.09600578410740584,,0.0957863137721779,,0,0,0,0,0,0,0.003767379008746356
513268200,0.096355,0.097223,0.092883,0.094619,0.09575364154242297,,0.09539720918145193,,0,1,0,0,0,0,0.003808280508121617
513354600,0.094619,0.097223,0.094619,0.095487,0.09570516126198243,,0.09542713945430129,,0,0,0,0,0,0,0.003722260471827217
513441000,0.095487,0.098091,0.095487,0.097223,0.09598113194162199,,0.09602575963620086,,0,0,0,0,0,0,0.0036423847238395584
513527400,0.097223,0.098959,0.095487,0.098091,0.09636474431587254,0.09618145,0.09671417309080058,,0,0,0,0,0,0,0.003630214386422447
513613800,0.098959,0.101564,0.098959,0.099827,0.09699424534935026,0.09652864523809523,0.09775178206053371,,0,0,0,0,0,0,0.0036189847873922725
513873000,0.099827,0.101564,0.099827,0.100695,0.09766710983128658,0.09692544092970522,0.09873285470702248,,0,0,0,0,0,0,0.0034845573025785387
513959400,0.100695,0.100695,0.097223,0.100695,0.0982176353165072,0.09728444655544757,0.09938690313801499,,0,1,0,0,0,0,0.0034836603523943576
514045800,0.100695,0.105036,0.099827,0.104168,0.09929951980441498,0.09794002307397638,0.10098060209200999,,0,0,0,0,0,0,0.0036068988986519036
514132200,0.104168,0.105036,0.104168,0.105036,0.10034251620361226,0.09861583040026435,0.10233240139467333,,0,0,0,0,0,0,0.003411263263033911
514218600,0.105036,0.105036,0.100695,0.101564,0.10056460416659185,0.09889660845738203,0.10207626759644889,,0,0,0,0,0,0,0.0034776730299600597
514477800,0.101564,0.102432,0.098959,0.101564,0.10074631249993879,0.09915064574715517,0.10190551173096593,,0,0,0,0,0,0,0.003477339242105769
514564200,0.101564,0.101564,0.099827,0.099827,0.10057916477267718,0.09921506043790229,0.10121267448731062,,0,0,0,0,0,0,0.003353029296241071
514650600,0.099827,0.100695,0.098959,0.100261,0.10052131663219042,0.09931467372953065,0.10089544965820708,,0,0,0,0,0,0,0.003237527203652423
514737000,0.100261,0.11198,0.099827,0.110244,0.10228907724451944,0.10035556194576582,0.10401163310547139,,0,0,0,0,0,0,0.0038743466891058213
514823400,0.111112,0.121963,0.111112,0.117189,0.10499815410915227,0.10195874652235955,0.10840408873698093,,1,0,0,0,0,0,0.004434679068455406
515079000,0.117189,0.118925,0.116321,0.118057,0.10737248972567004,0.10349191352023007,0.11162172582465395,,0,0,0,0,0,0,0.004303916277851449
515165400,0.118057,0.118057,0.113716,0.114584,0.10868367341191185,0.10454830270877959,0.1126091505497693,,0,0,0,0,0,0,0.004306565115147774
515251800,0.114584,0.115453,0.109376,0.11198,0.10928300551883696,0.10525608340318153,0.1123994336998462,,0,0,0,0,0,0,0.004433024749780076
515338200,0.11198,0.11198,0.108508,0.110244,0.10945773178813933,0.105731123079069,0.11168095579989747,,0,1,0,0,0,0,0.004364380124795785
515424600,0.110244,0.11198,0.109376,0.110244,0.10960068964484128,0.10616092088106242,0.11120197053326497,,0,0,0,0,0,0,0.004238638687310371
515683800,0.110244,0.110244,0.109376,0.109376,0.10955983698214286,0.10646711889238981,0.11059331368884331,,0,0,0,0,0,0,0.0039978787810739155
515770200,0.110244,0.11198,0.110244,0.110244,0.10968423025811688,0.10682682185501935,0.11047687579256221,,0,0,0,0,0,0,0.003898316010997207
515856600,0.110244,0.111112,0.108508,0.110244,0.1097860065748229,0.10715226739263656,0.1103992505283748,,0,1,0,0,0,0,0.0038058648673545497
515943000,0.110244,0.111112,0.109376,0.111112,0.11002709628849147,0.10752938478381403,0.1106368336855832,,0,0,0,0,0,0,0.0036580173768292245
516029400,0.111112,0.111112,0.110244,0.110244,0.11006653332694756,0.10778791956630794,0.11050588912372214,,0,0,0,0,0,0,0.0034587304213414233
516288600,0.110244,0.113716,0.110244,0.111112,0.11025661817659346,0.10810449865523099,0.11070792608248142,,1,0,0,0,0,0,0.0034596782483884646
516375000,0.111112,0.112848,0.111112,0.11198,0.11056996032630374,0.10847359402139946,0.11113195072165429,,0,0,0,0,0,0,0.0033365583735035743
516461400,0.11198,0.11198,0.111112,0.111112,0.11066851299424851,0.10872487078126618,0.11112530048110286,,0,0,0,0,0,0,0.003160232775396176
516547800,0.111112,0.112848,0.111112,0.111112,0.11074914699529424,0.1089522164211456,0.11112086698740191,,0,0,0,0,0,0,0.0030585018628678773
516634200,0.111112,0.114584,0.111112,0.11198,0.1109729384506953,0.10924057676198887,0.11140724465826794,,1,0,0,0,0,0,0.003088037444091601
516893400,0.11198,0.11198,0.109376,0.109376,0.11068258600511433,0.10925347421322802,0.11073016310551197,,0,0,0,0,0,0,0.0030534633409422004
516979800,0.109376,0.110244,0.108508,0.109376,0.11044502491327536,0.10926514333577773,0.11027877540367464,,0,0,0,0,0,0,0.0029593588165891865
517066200,0.109376,0.110244,0.10764,0.10764,0.10993502038358893,0.10911036777998938,0.10939918360244977,,0,0,0,0,0,0,0.0029339760439756725
