time,open,high,low,close,EMA1,EMA2,EMA3,EMA4,Fractal High,Fractal Low,HH,LH,LL,HL,ATR
1451917800,15.34931794,15.42131787,14.62131867,14.83131846,,,,,0,0,0,0,0,0,
1451925000,14.83065179,14.88998507,14.60865201,14.88331841,,,,,0,0,0,0,0,0,
1451932200,14.93065169,15.02598493,14.7246519,14.76731852,,,,,0,0,0,0,0,0,
1451939400,14.77798518,14.90531838,14.77798518,14.89598506,,,,,0,0,0,0,0,0,
1452004200,15.05331824,15.09998485,14.72598523,14.87998508,,,14.851585105999998,,1,0,0,0,0,0,
1452011400,14.84131845,14.87731841,14.66798529,14.7913185,,,14.831496237333331,,0,1,0,0,0,0,
1452018600,14.7913185,14.99265163,14.79065183,14.87798508,,,14.84699251822222,,0,0,0,0,0,0,
1452025800,14.88598507,14.92131837,14.87865174,14.89398506,,,14.862656698814813,,0,0,0,0,0,0,
1452090600,14.66298529,14.66398529,14.40065222,14.58598537,,,14.77043292254321,,0,1,0,0,0,0,
1452097800,14.58465204,14.58465204,14.42798553,14.48265214,14.788985168,,14.674505995028806,,0,0,0,0,0,0,
1452105000,14.45465217,14.57865204,14.41998554,14.56265206,14.747833693818182,,14.637221350019203,,0,0,0,0,0,0,
1452112200,14.57331872,14.62131867,14.55265207,14.61465201,14.723618842214876,,14.629698236679468,,1,0,0,0,0,0,
1452177000,14.28265234,14.53331876,14.25865237,14.45931883,14.675564294539443,,14.572905101119646,,0,0,0,0,0,0,
1452184200,14.45331884,14.50131879,14.39265223,14.39665223,14.624853010077727,,14.514154144079765,,0,0,0,0,0,0,0.2639521164285713
1452191400,14.36531893,14.42331887,14.25665237,14.34065228,14.573180150063594,,14.45632018938651,,0,1,0,0,0,0,0.2570031438265305
1452198600,14.34465228,14.40731888,14.34465228,14.38398557,14.538781135506577,,14.432208649591006,,0,0,0,0,0,0,0.24340767641034972
1452263400,14.57665205,14.6913186,14.38098558,14.38098558,14.51009103450538,,14.415134293060671,,1,0,0,0,0,0,0.2481880580953247
1452270600,14.33331896,14.41531888,14.14731914,14.19998576,14.453708257322585,,14.343418115373781,,0,0,0,0,0,0,0.24960317823137285
1452277800,14.20131909,14.27198569,14.1266525,14.13598582,14.395940541445752,,14.274274016915854,,0,0,0,0,0,0,0.24215532192913186
1452285000,14.1266525,14.14065248,14.05198591,14.06598589,14.335948786637433,14.571535385499999,14.204844641277235,,0,0,0,0,0,0,0.23119183964847953
1452522600,14.26665236,14.26665236,13.69065294,13.77798618,14.234501039976081,14.495959270690475,14.062558487518157,,0,0,0,0,0,0,0.255820952530731
1452529800,13.7893195,13.94265268,13.65398631,13.65398631,14.128952907253158,14.415771369672335,13.92636776167877,,0,0,0,0,0,0,0.25816705377853594
1452537000,13.65465297,13.75198621,13.53331976,13.75198621,14.060413507752584,14.352553735417827,13.868240577785848,,0,1,0,0,0,0,0.25534558208006913
1452544200,13.73798622,13.9246527,13.73798622,13.86065276,14.02409337179757,14.305706023473272,13.865711305190565,,0,0,0,0,0,0,0.2504399319314927
1452609000,14.06398589,14.23731905,13.93198603,13.93931935,14.00867991328892,14.270812054571056,13.890247320127044,,1,0,0,0,0,0,0.2594561003649575
1452616200,13.91998604,13.97998598,13.7619862,13.79998616,13.970735594509117,14.225971493183337,13.860160266751363,,0,0,0,0,0,0,0.2564949346246033
1452623400,13.79065283,13.98131931,13.6933196,13.957986,13.96841748641655,14.200449065261115,13.892768844500909,,0,1,0,0,0,0,0.2587452757228459
1452630600,13.93398602,14.01865261,13.92798603,13.99265263,13.972823876158996,14.18065892856958,13.926063439667272,,0,0,0,0,0,0,0.2467396545997855
1452695400,14.10665252,14.17665245,13.80131949,13.84865278,13.950247313220997,14.149039295372477,13.900259886444848,,1,0,0,0,0,0,0.25592489069980096
1452702600,13.83598612,13.83998612,13.5599864,13.56731973,13.880624116271724,14.09363743200367,13.789279834296565,,0,0,0,0,0,0,0.25826356850695803
1452709800,13.59998636,13.60465302,13.35265327,13.49798646,13.811053633313229,14.03690876800332,13.692182042864376,,0,0,0,0,0,0,0.25781615289931825
1452717000,13.46131983,13.47465315,13.33331996,13.36731993,13.73037477816537,13.973138402479194,13.583894671909585,,0,0,0,0,0,0,0.2511626062636526
1452781800,13.51565311,13.63331966,12.90132039,13.39198657,13.66884964940803,13.917790608909746,13.51992530460639,,0,1,0,0,0,0,0.2855080822448202
1452789000,13.38665324,13.83665279,13.35065328,13.78331951,13.689662351333842,13.904983837585009,13.607723373070927,,0,0,0,0,0,0,0.2998288985130474
1452796200,13.79665283,13.99598596,13.66598629,13.78065284,13.706206076545872,13.893142790195961,13.665366528713951,,1,0,0,0,0,0,0.3019839536192584
1452803400,13.75865287,13.77998618,13.65265297,13.73998622,13.71234792081026,13.878556450177298,13.690239759142635,,0,0,0,0,0,0,0.28955651907502566
1452868200,13.26065337,13.49465313,13.17065346,13.37731992,13.651433738844757,13.83081963777946,13.58593314609509,,0,1,0,0,0,0,0.3095405362839524
1452875400,13.36998659,13.5226531,13.27532002,13.38865324,13.603655466327528,13.788708552276654,13.520173177396726,,0,0,0,0,0,0,0.30509714654938425
1452882600,13.35198661,13.59065304,13.34131995,13.4973198,13.584321708813432,13.760957242536021,13.51255538493115,,0,0,0,0,0,0,0.30111399965299956
1452889800,13.46665316,13.67065296,13.46665316,13.66531963,13.599048603574627,13.75184889848497,13.5634767999541,,0,0,0,0,0,0,0.2941772711063568
