time,open,high,low,close,EMA1,EMA2,EMA3,EMA4,Fractal High,Fractal Low,HH,LH,LL,HL,ATR
1277818200,1.266665,1.666665,1.169331,1.592665,,,,,0,0,0,0,0,0,
1277904600,1.719331,2.027945,1.553332,1.588665,,,,,0,0,0,0,0,0,
1277991000,1.666665,1.727998,1.351332,1.463999,,,,,0,0,0,0,0,0,
1278077400,1.533332,1.539999,1.247333,1.279999,,,,,0,0,0,0,0,0,
1278423000,1.333332,1.333332,1.055332,1.073999,,,1.3998654,,0,0,0,0,0,0,
1278509400,1.093332,1.108666,0.998666,1.053332,,,1.2843542666666665,,0,1,0,0,0,0,
1278595800,1.075999,1.167999,1.037999,1.164,,,1.2442361777777777,,0,0,0,0,0,0,
1278682200,1.171999,1.193331,1.103332,1.159998,,,1.216156785185185,,0,0,0,0,0,0,
1278941400,1.196665,1.204666,1.133332,1.136666,,,1.1896598567901233,,0,0,0,0,0,0,
1279027800,1.159586,1.242665,1.126665,1.209332,1.2722655,,1.1962172378600822,,0,0,0,0,0,0,
1279114200,1.195999,1.343331,1.184005,1.322665,1.2814290454545454,,1.2383664919067214,,0,0,0,0,0,0,
1279200600,1.329332,1.433332,1.266665,1.325999,1.289532673553719,,1.2675773279378142,,0,0,0,0,0,0,
1279287000,1.379999,1.419999,1.336665,1.375999,1.305253823816679,,1.303717885291876,,0,0,0,0,0,0,
1279546200,1.424665,1.483332,1.394665,1.460665,1.3335104013045556,,1.3560335901945841,,1,0,0,0,0,0,0.21170985714285714
1279632600,1.456666,1.456666,1.336665,1.353332,1.3371143283400908,,1.3551330601297227,,0,0,0,0,0,0,0.20544486734693876
1279719000,1.377332,1.393331,1.299999,1.347999,1.3390933595509833,,1.3527550400864818,,0,1,0,0,0,0,0.197436805393586
1279805400,1.366665,1.416665,1.357999,1.399999,1.3501671123598955,,1.3685030267243212,,0,0,0,0,0,0,0.1882388907226156
1279891800,1.412665,1.437332,1.403999,1.419331,1.3627423646580963,,1.3854456844828809,,1,0,0,0,0,0,0.17745989852814306
1280151000,1.433332,1.433332,1.353332,1.396665,1.3689101165384425,,1.3891854563219206,,0,0,0,0,0,0,0.17049847720470426
1280237400,1.393999,1.411998,1.350665,1.369999,1.3691080953496348,1.3247654,1.3827899708812803,,0,0,0,0,0,0,0.16270094311865396
1280323800,1.369999,1.393331,1.367331,1.381332,1.371330623467883,1.3301526952380953,1.3823039805875201,,0,0,0,0,0,0,0.15293659003875013
1280410200,1.384665,1.391999,1.333332,1.356666,1.3686643282919042,1.3326777718820861,1.3737579870583467,,0,0,0,0,0,0,0.14620304789312513
1280496600,1.346665,1.362665,1.303332,1.329332,1.3615129958751944,1.3323591269409352,1.3589493247055644,,0,1,0,0,0,0,0.13999804447218764
1280755800,1.366665,1.397999,1.355531,1.394665,1.3675406329887954,1.338293019613227,1.3708545498037097,,0,0,0,0,0,0,0.13490296986703137
1280842200,1.399999,1.463332,1.387999,1.463332,1.3849572451726508,1.3502014939357767,1.4016803665358064,,0,0,0,0,0,0,0.1306479720193863
1280928600,1.463332,1.478665,1.389999,1.417331,1.390843382413987,1.3565947802276075,1.4068972443572043,,1,0,0,0,0,0,0.12764925973228727
1281015000,1.435998,1.436665,1.336665,1.363332,1.3858413128841711,1.3572364202059306,1.3923754962381363,,0,0,0,0,0,0,0.12567431260855247
1281101400,1.339999,1.344005,1.301332,1.305999,1.3713245287234128,1.3523566659006039,1.3635833308254242,,0,0,0,0,0,0,0.1211261474222273
1281360600,1.326665,1.331999,1.296665,1.306666,1.3595684325918833,1.3480051739100702,1.3446108872169495,,0,0,0,0,0,0,0.1149981368920682
1281447000,1.309998,1.309998,1.254666,1.268665,1.3430405357569954,1.340448966871016,1.3192955914779663,,0,0,0,0,0,0,0.11073626997120618
1281533400,1.245999,1.258665,1.189999,1.193331,1.3158206201648144,1.3264377319309193,1.2773073943186442,,0,0,0,0,0,0,0.10844553640183431
1281619800,1.186665,1.193331,1.159332,1.173333,1.2899137801348481,1.3118563288898795,1.2426492628790962,,0,1,0,0,0,0,0.10312792665884614
1281706200,1.211998,1.229999,1.177359,1.221333,1.2774445473830576,1.3032350594717956,1.2355438419193974,,0,0,0,0,0,0,0.09980921761178571
1281965400,1.229999,1.253332,1.217439,1.251999,1.2728180842225016,1.298355434760196,1.2410288946129315,,0,0,0,0,0,0,0.09524377349665815
1282051800,1.263999,1.293331,1.251999,1.276665,1.273517523454774,1.2962896790687488,1.252907596408621,,0,0,0,0,0,0,0.09139293253261113
1282138200,1.305999,1.305999,1.239999,1.251332,1.2694837919175423,1.2920079953479155,1.2523823976057473,,1,0,0,0,0,0,0.08957915163742461
1282224600,1.235998,1.283332,1.221999,1.252665,1.2664258297507165,1.2882610434100188,1.2524765984038315,,0,1,0,0,0,0,0.08756156937760855
1282311000,1.243331,1.273999,1.234005,1.273333,1.2676816788869498,1.286839324990017,1.259428732269221,,0,0,0,0,0,0,0.08416388585063651
1282570200,1.272665,1.359272,1.266665,1.341999,1.2811939190893227,1.2920926273719202,1.2869521548461473,,1,0,0,0,0,0,0.0847669654327339
1282656600,1.283332,1.313999,1.263332,1.279999,1.2809766610730822,1.2909408533364992,1.2846344365640983,,0,0,0,0,0,0,0.08433125361611006
1282743000,1.277332,1.331999,1.237332,1.326665,1.2892836317870673,1.2943431530187375,1.2986446243760654,,0,1,0,0,0,0,0.08506952121495934
1282829400,1.325999,1.351332,1.306666,1.316665,1.2942620623712369,1.296469043207429,1.3046514162507103,,1,0,0,0,0,0,0.0821835554138908
1282915800,1.316665,1.324333,1.299999,1.313332,1.2977293237582848,1.2980750390924358,1.3075449441671403,,0,0,0,0,0,0,0.07805144431289861
1283175000,1.313332,1.345999,1.307332,1.324665,1.3026267194385965,1.3006074163217276,1.3132516294447603,,0,0,0,0,0,0,0.07523826971912013
1283261400,1.310665,1.319331,1.288665,1.298665,1.3019064068133972,1.300422424291087,1.3083894196298402,,0,1,0,0,0,0,0.07243553616775442
1283347800,1.307999,1.379332,1.306666,1.363332,1.3130746964836886,1.3064138124538405,1.3267036130865602,,0,0,0,0,0,0,0.07302349787005769
1283434200,1.357999,1.415999,1.354019,1.403999,1.3296063880321087,1.315707639839189,1.3524687420577068,,0,0,0,0,0,0,0.072234676593625
1283520600,1.391332,1.419999,1.377332,1.403332,1.3430110447535435,1.3240528169973613,1.3694231613718046,,1,0,0,0,0,0,0.07012269969408035
1283866200,1.373999,1.399999,1.366665,1.369331,1.3477964911619902,1.3283650249023746,1.3693924409145364,,0,0,0,0,0,0,0.06773300685878889
1283952600,1.377332,1.396665,1.373333,1.393331,1.3560754927689012,1.334552260625958,1.377371960609691,1.32223868,0,0,0,0,0,0,0.06484736351173254
1284039000,1.399999,1.403332,1.379332,1.380666,1.3605464940836465,1.3389440453282477,1.378469973739794,1.3245299474509804,1,0,0,0,0,0,0.06192969468946593
1284125400,1.383332,1.395331,1.317331,1.344665,1.3576589497048017,1.3394888981541289,1.3672016491598626,1.3253195573548635,0,1,0,0,0,0,0.06307757364021836
1284384600,1.392665,1.393299,1.366665,1.381332,1.361963140667565,1.3434739554727833,1.3719117661065752,1.3275161237331041,0,0,0,0,0,0,0.06204588980877419
1284471000,1.369331,1.439999,1.368665,1.407999,1.3703332969098259,1.3496191978087086,1.3839408440710501,1.330672314959257,0,0,0,0,0,0,0.0627093262510046
1284557400,1.398665,1.466665,1.385998,1.465332,1.3876057883807666,1.3606394646840698,1.4110712293807002,1.3359530869216392,0,0,0,0,0,0,0.06399201723307571
1284643800,1.476665,1.543998,1.389332,1.395999,1.389131826856991,1.3640070394760633,1.4060471529204668,1.3383078286109866,1,0,0,0,0,0,0.07046873028785601
1284730200,1.401332,1.421333,1.319999,1.348665,1.3817742219739018,1.3625458928592953,1.3869197686136445,1.3387139921948694,0,1,0,0,0,0,0.07267339241015201
1284989400,1.377999,1.423333,1.343999,1.403665,1.3857543634331924,1.3664619983012671,1.3925015124090963,1.3412610905401687,0,0,0,0,0,0,0.07314915009514114
1285075800,1.392665,1.436665,1.377999,1.384665,1.3855562973544302,1.3681956175106702,1.3898893416060643,1.3429632046366327,1,0,0,0,0,0,0.07211463937405964
1285162200,1.391332,1.396665,1.319999,1.324665,1.3744851523808974,1.3640498444144158,1.3681478944040428,1.3422456279842157,0,0,0,0,0,0,0.07243973656162682
1285248600,1.325999,1.342665,1.299999,1.303999,1.3616694883116434,1.3583307163749476,1.3467649296026951,1.3407457602201287,0,1,0,0,0,0,0.07031304109293919
1285335000,1.329999,1.345999,1.309998,1.339999,1.3577293995277082,1.3565848386249526,1.34450961973513,1.3407164755056138,0,0,0,0,0,0,0.06829068101487211
1285594200,1.359998,1.387332,1.336665,1.368665,1.3597176905226704,1.357735330184481,1.3525614131567534,1.3418124960740212,0,0,0,0,0,0,0.06703184665666696
1285680600,1.402665,1.432666,1.383998,1.426665,1.3718899286094577,1.364300060643102,1.377262608771169,1.345140045247589,0,0,0,0,0,0,0.06681535760976218
1285767000,1.412665,1.468665,1.408665,1.465332,1.3888793961350108,1.3739221501056638,1.4066190725141128,1.3498534552378796,0,0,0,0,0,0,0.06632854635192202
1285853400,1.466665,1.476659,1.345999,1.360332,1.3836889604740998,1.3726278500956006,1.391190048342742,1.3502643785618844,1,1,0,0,0,0,0.07092365018392759
1285939800,1.379332,1.383332,1.353999,1.373333,1.381806058569718,1.372695007229353,1.3852376988951614,1.351169030382987,0,0,0,0,0,0,0.0679528894565042
1286199000,1.361998,1.411332,1.353332,1.399333,1.3849927751934057,1.3752319589217954,1.3899361325967743,1.353057813505223,0,0,0,0,0,0,0.06724196878103962
1286285400,1.409998,1.418665,1.400665,1.407999,1.389175725158241,1.378352629500672,1.3959570883978496,1.3552123698383514,1,0,0,0,0,0,0.06381982815382252
1286371800,1.403999,1.417199,1.354666,1.363999,1.3845981387658335,1.3769856171672747,1.385304392265233,1.3555569435701806,0,0,0,0,0,0,0.06372791185712093
1286458200,1.371333,1.375999,1.355999,1.361998,1.3804890226265911,1.3755582250561058,1.3775355948434886,1.3558095340184089,0,0,0,0,0,0,0.06060448958161229
1286544600,1.361998,1.385998,1.359332,1.361998,1.3771270185126654,1.3742667750507624,1.3723563965623258,1.3560522189588635,0,0,0,0,0,0,0.05818031175435428
1286803800,1.362665,1.379933,1.337999,1.349333,1.3720735606012717,1.3718921298078326,1.3646819310415506,1.355788720176163,0,0,0,0,0,0,0.05701986091475756
1286890200,1.346665,1.352192,1.335332,1.349333,1.3679389132192223,1.3697436412547057,1.359565620694367,1.3555355546790584,0,1,0,0,0,0,0.05415129942084631
1286976600,1.375999,1.389999,1.357332,1.369331,1.3681920199066364,1.369704342087591,1.362820747129578,1.3560765525347815,0,0,0,0,0,0,0.05318806374792872
1287063000,1.399999,1.401993,1.359998,1.383332,1.3709447435599753,1.3710022142697251,1.3696578314197185,1.357145393611849,1,0,0,0,0,0,0.05238855919450524
1287149400,1.392665,1.393331,1.349999,1.369331,1.3706513356399799,1.3708430510059417,1.3695488876131456,1.3576232605290313,0,0,0,0,0,0,0.05174166210918345
1287408600,1.367999,1.375991,1.347999,1.348665,1.3666538200690745,1.3687308556720426,1.362587591742097,1.3572719561945594,0,0,0,0,0,0,0.050045257672813204
1287495000,1.346665,1.360405,1.333332,1.336665,1.3612013073292428,1.3656769646556575,1.3539467278280648,1.356463840265361,0,1,0,0,0,0,0.048404382124755126
1287581400,1.343999,1.379332,1.335998,1.376665,1.364012887814835,1.3667234442122616,1.3615194852187098,1.357256042607896,0,0,0,0,0,0,0.0480422119729869
1287667800,1.373999,1.396665,1.363332,1.383332,1.3675254536666832,1.3683052114301415,1.3687903234791399,1.3582786291722921,0,0,0,0,0,0,0.04699155397491641
1287754200,1.378665,1.395331,1.369999,1.381332,1.3700357348181953,1.3695458579606041,1.3729708823194267,1.3591826829302414,0,0,0,0,0,0,0.0454444429767081
1288013400,1.395999,1.398665,1.381999,1.389999,1.3736654193967053,1.3714937762500703,1.3786469215462844,1.360391165952585,0,0,0,0,0,0,0.04343648276408609
1288099800,1.386665,1.457999,1.367331,1.423999,1.3828169795063951,1.3764942737500636,1.3937642810308564,1.3628855908171895,1,1,0,0,0,0,0.04681016256665137
1288186200,1.416665,1.425332,1.376665,1.399999,1.3859409832325051,1.3787328191072004,1.3958425206872376,1.36434101862828,0,0,0,0,0,0,0.04694279381189055
1288272600,1.425999,1.433332,1.397333,1.412665,1.3907998953720497,1.381964455382705,1.4014500137914918,1.3662360767212887,0,0,0,0,0,0,0.046161094253898374
1288359000,1.409332,1.456666,1.403465,1.455999,1.402654278031677,1.389015364393876,1.4196330091943279,1.3697561913596694,0,0,0,0,0,0,0.04666394466433421
1288618200,1.462665,1.516665,1.420665,1.427332,1.4071411365713722,1.3926645677849354,1.4221993394628853,1.3720140662083098,1,0,0,0,0,0,0.05018794861688176
