time,open,high,low,close,EMA1,EMA2,EMA3,EMA4,Fractal High,Fractal Low,HH,LH,LL,HL,ATR
1672531200,16530,16542,16507,16542,,,,,0,0,0,0,0,0,
1672538400,16540,16546,16515,16522,,,,,0,0,0,0,0,0,
1672545600,16523,16523,16507,16518,,,,,0,0,0,0,0,0,
1672552800,16519,16535,16496,16517,,,,,0,1,0,0,0,0,
1672560000,16517,16529,16498,16529,,,16525.6,,0,0,0,0,0,0,
1672567200,16527,16544,16524,16544,,,16531.733333333334,,0,0,0,0,0,0,
1672574400,16544,16560,16537,16541,,,16534.82222222222,,0,0,0,0,0,0,
1672581600,16544,16550,16535,16546,,,16538.548148148147,,0,0,0,0,0,0,
1672588800,16546,16586,16546,16572,,,16549.6987654321,,0,0,0,0,0,0,
1672596000,16573,16612,16573,16597,16542.8,,16565.465843621398,,0,0,0,0,0,0,
1672603200,16597,16617,16592,16602,16553.563636363637,,16577.6438957476,,0,0,0,0,0,0,
1672610400,16603,16622,16590,16615,16564.733884297522,,16590.0959304984,,0,0,0,0,0,0,
1672617600,16615,16620,16552,16561,16564.054996243427,,16580.397286998934,,0,1,0,0,0,0,
1672624800,16560,16688,16556,16661,16581.681360562805,,16607.26485799929,,0,0,0,0,0,0,39.07142857142857
1672632000,16660,16664,16618,16641,16592.466567733205,,16618.50990533286,,0,0,0,0,0,0,39.56632653061224
1672639200,16642,16746,16632,16718,16615.29082814535,,16651.673270221905,,0,0,0,0,0,0,44.88301749271136
1672646400,16716,16752,16710,16712,16632.874313937104,,16671.782180147937,,1,0,0,0,0,0,44.677087671803406
1672653600,16712,16744,16706,16730,16650.533529584904,,16691.188120098624,,0,0,0,0,0,0,44.200152838103165
1672660800,16730,16735,16682,16688,16657.345615114922,,16690.125413399084,,0,0,0,0,0,0,44.828713349667225
1672668000,16689,16739,16672,16727,16670.01004873039,16604.15,16702.416942266056,,0,1,0,0,0,0,46.41237668183385
1672675200,16732,16734,16706,16709,16677.09913077941,16614.135714285716,16704.61129484404,,0,0,0,0,0,0,45.097206918845714
1672682400,16709,16728,16704,16727,16686.172016092245,16624.884693877553,16712.07419656269,,0,0,0,0,0,0,43.5902635674996
1672689600,16728,16782,16706,16751,16697.95892225729,16636.895675413023,16725.049464375126,,1,0,0,0,0,0,45.90524474124963
1672696800,16753,16755,16665,16673,16693.42093639233,16640.334182516544,16707.699642916752,,0,0,0,0,0,0,49.05487011687466
1672704000,16668,16700,16654,16672,16689.526220684635,16643.349974657827,16695.7997619445,,0,1,0,0,0,0,48.83666510852647
1672711200,16672,16694,16666,16689,16689.43054419652,16647.697596118986,16693.53317462967,,0,0,0,0,0,0,47.34833188648886
1672718400,16690,16720,16682,16720,16694.98862706988,16654.58353934575,16702.35544975311,,0,0,0,0,0,0,46.68059389459679
1672725600,16720,16766,16712,16727,16700.80887669354,16661.480345122345,16710.570299835406,,1,0,0,0,0,0,47.2034086164113
1672732800,16727,16748,16699,16736,16707.20726274926,16668.57745511069,16719.04686655694,,0,0,0,0,0,0,47.33173657238193
1672740000,16741,16745,16708,16716,16708.805942249393,16673.093887957293,16718.031244371294,,0,0,0,0,0,0,46.59375538864036
1672747200,16715,16728,16702,16723,16711.38668002223,16677.84685100898,16719.68749624753,,0,0,0,0,0,0,45.12277286088033
1672754400,16722,16764,16614,16673,16704.407283654553,16677.38524615098,16704.124997498355,,1,0,0,0,0,0,52.61400337081745
1672761600,16672,16678,16605,16620,16689.06050480827,16671.919984612792,16676.08333166557,,0,1,0,0,0,0,54.07014598718763
1672768800,16621,16646,16621,16635,16679.231322115855,16668.40379560205,16662.388887777048,,0,0,0,0,0,0,52.06513555953137
1672776000,16635,16666,16635,16658,16675.371081731155,16667.412957925666,16660.9259251847,,0,0,0,0,0,0,50.56048301956485
1672783200,16660,16684,16648,16670,16674.394521416398,16667.659342885127,16663.9506167898,,0,0,0,0,0,0,49.52044851816736
1672790400,16673,16718,16652,16695,16678.140972067962,16670.263214991304,16674.3004111932,,0,0,0,0,0,0,50.69755933829827
1672797600,16695,16867,16695,16860,16711.206249873787,16688.333384992133,16736.200274128798,,0,0,0,0,0,0,59.36201938556268
1672804800,16865,16896,16839,16850,16736.44147716946,16703.730205469074,16774.133516085865,,0,0,0,0,0,0,59.19330371516535
1672812000,16850,16876,16845,16867,16760.179390411377,16719.279709710114,16805.08901072391,,0,0,0,0,0,0,57.17949630693926
1672819200,16867,16906,16834,16841,16774.874046700217,16730.87211830915,16817.059340482607,,1,0,0,0,0,0,58.23810371358645
1672826400,16841,16847,16834,16834,16785.62422002745,16740.693821327328,16822.706226988405,,0,0,0,0,0,0,55.00681059118741
1672833600,16834,16837,16776,16822,16792.237998204277,16748.4372669152,16822.47081799227,,0,0,0,0,0,0,55.43489554895974
1672840800,16823,16848,16760,16847,16802.1947258035,16757.82419387566,16830.64721199485,,0,1,0,0,0,0,57.76097443831976
1672848000,16847,16931,16829,16890,16818.159321111954,16770.4123658875,16850.431474663234,,0,0,0,0,0,0,60.92090483558263
1672855200,16890,16984,16790,16833,16820.857626364326,16776.373092945832,16844.620983108824,,1,0,0,0,0,0,70.42655449018388
1672862400,16832,16843,16778,16821,16820.883512479904,16780.62327457004,16836.747322072548,,0,1,0,0,0,0,70.03894345517074
1672869600,16821,16861,16809,16849,16825.99560111992,16787.135343658607,16840.831548048365,,0,0,0,0,0,0,68.75044749408711
1672876800,16847,16869,16810,16834,16827.450946370845,16791.59864426255,16838.554365365577,,1,0,0,0,0,0,68.05398695879518
1672884000,16833,16837,16820,16823,16826.64168339433,16794.58924957088,16833.369576910383,16696.96,0,0,0,0,0,0,64.40727360459552
1672891200,16824,16851,16818,16843,16829.61592277718,16799.199797230795,16836.579717940254,16702.68705882353,0,0,0,0,0,0,62.163896918552986
1672898400,16843,16843,16789,16818,16827.50393681769,16800.990292732622,16830.386478626835,16707.209134948098,0,0,0,0,0,0,61.58076142437063
1672905600,16819,16824,16784,16801,16822.685039214473,16800.991217234277,16820.590985751223,16710.887208087388,0,0,0,0,0,0,60.039278465487016
1672912800,16801,16831,16798,16830,16824.015032084568,16803.75395845006,16823.727323834148,16715.558297966312,0,0,0,0,0,0,58.107901432237945
1672920000,16831,16831,16773,16773,16814.739571705555,16800.825010026245,16806.81821588943,16717.81091373234,0,0,0,0,0,0,58.100194187078095
1672927200,16775,16871,16755,16840,16819.33237685,16804.555961452315,16817.878810592953,16722.602642605583,1,1,0,0,0,0,62.235894602286805
1672934400,16840,16853,16810,16810,16817.63558105909,16805.074441314,16815.2525403953,16726.029989954382,0,0,0,0,0,0,60.861902130694894
1672941600,16809,16869,16798,16860,16825.33820268471,16810.30544690314,16830.168360263535,16731.283715838523,0,0,0,0,0,0,61.5860519785024
1672948800,16860,16866,16835,16845,16828.913074923854,16813.609690055222,16835.11224017569,16735.743177962504,0,0,0,0,0,0,59.40133398003794
1672956000,16845,16851,16817,16826,16828.3834249377,16814.78971957377,16832.074826783795,16739.28266117966,0,0,0,0,0,0,57.5869529814638
