time,open,high,low,close,EMA1,EMA2,EMA3,EMA4,Fractal High,Fractal Low,HH,LH,LL,HL,ATR
1313625600,10.9,10.9,10.9,10.9,,,,,0,0,0,0,0,0,
1313712000,11.85,11.85,11.15,11.69,,,,,0,0,0,0,0,0,
1313798400,11.7,11.7,11.7,11.7,,,,,0,0,0,0,0,0,
1313884800,11.7,11.7,11.7,11.7,,,,,0,0,0,0,0,0,
1313971200,11.7,11.7,11.7,11.7,,,11.538,,0,0,0,0,0,0,
1314144000,11.5,11.5,10.5,10.5,,,11.192,,0,0,0,0,0,0,
1314230400,10,10,10,10,,,10.794666666666666,,0,0,0,0,0,0,
1314662400,8,8,8,8,,,9.863111111111111,,0,0,0,0,0,0,
1314835200,8,8.31,5.25,8.22,,,9.315407407407408,,0,1,0,0,0,0,
1314921600,8.12,8.88,8,8.88,10.328999999999999,,9.170271604938272,,0,0,0,0,0,0,
1315094400,8.89,8.89,8.89,8.89,10.067363636363636,,9.076847736625515,,1,0,0,0,0,0,
1315267200,8,8,8,8,9.691479338842974,,8.717898491083677,,0,0,0,0,0,0,
1315353600,8.5,8.5,8.5,8.5,9.474846731780616,,8.645265660722451,,0,0,0,0,0,0,
1315440000,7.98,7.98,7.4,7.4,9.097601871456868,,8.2301771071483,,0,0,0,0,0,0,0.7928571428571428
1315872000,5.8,6,5.65,5.97,8.528946985737438,,7.476784738098867,,0,0,0,0,0,0,0.8612244897959184
1315958400,5.58,5.72,5.52,5.53,7.98368389742154,,6.827856492065911,,0,0,0,0,0,0,0.8318513119533529
1316044800,5.12,5.24,5,5.13,7.464832279708532,,6.261904328043941,,0,0,0,0,0,0,0.8102905039566848
1316131200,4.82,4.87,4.8,4.85,6.989408228852436,,5.791269552029294,,0,1,0,0,0,0,0.7759840393883503
1316217600,4.87,4.87,4.87,4.87,6.604061278151993,,5.484179701352863,,0,0,0,0,0,0,0.7219851794320397
1316304000,4.87,4.92,4.81,4.92,6.297868318487994,8.3675,5.296119800901908,,0,0,0,0,0,0,0.678271952329751
1316390400,4.9,4.9,4.9,4.9,6.043710442399268,8.037261904761905,5.164079867267939,,0,0,0,0,0,0,0.6312525271633402
1316476800,4.92,5.66,4.92,5.66,5.973944907417583,7.810856009070295,5.329386578178626,,0,0,0,0,0,0,0.6404487752231016
1316563200,5.7,5.79,5.66,5.66,5.916864015159841,7.606012579635029,5.439591052119084,,1,0,0,0,0,0,0.6039881484214514
1316649600,5.68,5.72,5.68,5.72,5.8810705578580516,7.426392333955502,5.533060701412722,,0,0,0,0,0,0,0.5651318521056334
1316736000,5.7,5.72,5.7,5.72,5.851785001883861,7.263878778340692,5.595373800941815,,0,0,0,0,0,0,0.5261938626695167
1316822400,5.7,5.76,5.68,5.68,5.820551365177704,7.113033180403484,5.623582533961209,,0,0,0,0,0,0,0.494322872478837
1316908800,6.05,6.05,6.05,6.05,5.862269298781758,7.011791925126961,5.7657216893074725,,0,0,0,0,0,0,0.4854426673017772
1316995200,6.06,6.06,4.8,4.8,5.669129426275984,6.80114507511487,5.443814459538315,,1,1,0,0,0,0,0.540768191065936
1317081600,4.85,4.92,4.85,4.92,5.532924076043987,6.621988401294406,5.2692096396922095,,0,0,0,0,0,0,0.510713320275512
1317168000,4.9,4.91,4.82,4.82,5.403301516763261,6.450370458313986,5.11947309312814,,0,0,0,0,0,0,0.4813766545415468
1317254400,4.81,4.82,4.81,4.82,5.297246695533578,6.2950970813317015,5.0196487287520934,,0,0,0,0,0,0,0.4477068935028649
1317600000,4.85,4.87,4.83,4.87,5.219565478163837,6.159373549776301,4.969765819168062,,0,0,0,0,0,0,0.41929925825266023
1317686400,4.86,5.3,4.8,4.98,5.176008118497685,6.047052259321416,4.973177212778708,,0,0,0,0,0,0,0.42506359694889884
1317772800,4.92,6.25,4.8,4.92,5.129461187861742,5.939713948909852,4.955451475185805,,1,0,0,0,0,0,0.4982733400239775
1317859200,4.88,4.99,4.8,4.8,5.069559153705062,5.83116976329939,4.903634316790537,,0,0,0,0,0,0,0.47625381573655057
1317945600,4.8,4.81,4.59,4.61,4.986002943940505,5.714867881080401,4.805756211193692,,0,0,0,0,0,0,0.45794997175536833
1318032000,4.57,4.57,3.99,3.99,4.8049114995876865,5.550594749548934,4.533837474129128,,0,0,0,0,0,0,0.4695249737728421
1318118400,3.89,3.89,3.89,3.89,4.638563954208107,5.392442868639512,4.319224982752752,,0,1,0,0,0,0,0.4431303327890677
1318204800,3.99,4.51,3.99,4.51,4.615188689806633,5.308400690673844,4.382816655168502,,0,0,0,0,0,0,0.4557638804469914
1318291200,3.98,4.1,3.98,4.1,4.521518018932699,5.1933149106096685,4.288544436779001,,0,0,0,0,0,0,0.46106646041506344
1318377600,3.95,3.99,3.93,3.93,4.413969288217663,5.072999204837319,4.169029624519334,,0,0,0,0,0,0,0.4402759989568446
1318464000,3.93,3.97,3.93,3.97,4.333247599450815,4.967951661519479,4.102686416346223,,0,0,0,0,0,0,0.41168485617421285
1318550400,4.05,4.05,4.05,4.05,4.281748035914303,4.880527693755719,4.085124277564148,,1,0,0,0,0,0,0.3879930807331976
1318809600,3.92,3.92,3.92,3.92,4.215975665748066,4.789048865778984,4.030082851709432,,0,0,0,0,0,0,0.36956500353796917
1319068800,2.22,2.29,2.22,2.24,3.856707362884781,4.5462823071333665,3.433388567806288,,0,0,0,0,0,0,0.4645960747138285
1319155200,2.22,2.27,2.22,2.27,3.568215115087548,4.329493515977807,3.0455923785375254,,0,0,0,0,0,0,0.43498206937712647
1319414400,2.99,2.99,2.92,2.92,3.4503578214352664,4.195256038265636,3.0037282523583504,,0,0,0,0,0,0,0.455340492993046
1319500800,2.66,2.72,2.66,2.72,3.317565490265218,4.054755463192718,2.9091521682389003,,0,0,0,0,0,0,0.44138760063639987
1319587200,2.72,3,2.67,2.69,3.2034626738533603,3.9247787524124593,2.8361014454926003,,0,0,0,0,0,0,0.4334313434480856
1319760000,3.07,4.36,3.07,4.2,3.384651278607295,3.9509902998017488,3.290734296995067,5.9936,0,0,0,0,0,0,0.5217576760589366
1319846400,3.69,4.4,3.69,3.95,3.4874419552241505,3.9508959855349155,3.5104895313300446,5.913458823529411,1,0,0,0,0,0,0.5352035563404413
1319932800,3.85,3.85,3.2,3.5,3.489725236092487,3.9079535107220664,3.5069930208866964,5.818813379469434,0,0,0,0,0,0,0.5505461594589811
1320019200,3.25,3.55,3.2,3.3,3.4552297386211257,3.850053176367584,3.4379953472577975,5.720036384196123,0,0,0,0,0,0,0.5362214337833395
1320105600,3.32,3.33,3.32,3.33,3.4324606952354664,3.800524302427814,3.401996898171865,5.6263094671688245,0,0,0,0,0,0,0.5000627599416724
1320364800,3.27,3.55,3.21,3.55,3.453831477919927,3.7766648450537366,3.45133126544791,5.544885566495537,0,0,0,0,0,0,0.48862970566012437
1320451200,3.21,3.21,3,3,3.3713166637526673,3.7026967645724285,3.300887510298607,5.44508613251532,0,0,0,0,0,0,0.4930132981129726
1320537600,2.95,2.95,2.95,2.95,3.294713633979455,3.6310113584226733,3.183925006865738,5.347239617514719,0,1,0,0,0,0,0.46136949110490316
1320710400,3.08,3.08,3.08,3.08,3.2556747914377357,3.5785340861919424,3.149283337910492,5.258328259965123,0,0,0,0,0,0,0.4377002417402672
1320796800,3.09,3.3,3.09,3.3,3.263733920267238,3.5520070303641385,3.1995222252736615,5.181531073299824,0,0,0,0,0,0,0.42215022447310524
1320883200,3.25,3.3,2.95,3.3,3.270327752945922,3.528006360805649,3.2330148168491077,5.107745541013556,0,1,0,0,0,0,0.4169966370107406
1320969600,3.3,3.3,3.3,3.3,3.2757227069557544,3.506291469300349,3.2553432112327383,5.036853559013024,0,0,0,0,0,0,0.3872111629385448
1321056000,3.35,3.35,3.35,3.35,3.2892276693274356,3.4914065674622203,3.286895474155159,4.970702439051729,0,0,0,0,0,0,0.3631246513000774
1321142400,3.35,3.35,3.35,3.35,3.3002771839951746,3.4779392753229614,3.3079303161034392,4.907145480657544,0,0,0,0,0,0,0.3371871762072147
1321228800,2.95,2.95,2.47,2.47,3.149317695996052,3.3819450586255364,3.0286202107356264,4.811571148082738,0,1,0,0,0,0,0.3759595207638422
1321315200,2.99,3,2.5,2.5,3.0312599330876786,3.29795029113739,2.8524134738237508,4.7209212991383165,0,0,0,0,0,0,0.3869624121378535
1321401600,2.51,3,2.51,3,3.025576308889919,3.269574072933829,2.9016089825491673,4.653434189368187,0,0,0,0,0,0,0.39503652555657826
1321488000,3,3,2.5,2.99,3.0191078890917518,3.242947970749655,2.931072655032778,4.588201476059631,0,0,0,0,0,0,0.4025339165882512
1321574400,2.5,2.79,2.5,2.5,2.924724636529615,3.1721910211544495,2.787381770021852,4.506311222096508,0,0,0,0,0,0,0.40878149397480473
1321660800,2.5,2.5,2.43,2.43,2.8347747026151398,3.101506161996883,2.668254513347901,4.4248872526025265,0,0,0,0,0,0,0.3845828158337472
1321747200,2.37,2.37,2.37,2.37,2.750270211230569,3.0318389084733703,2.568836342231934,4.344303438774976,0,0,0,0,0,0,0.36139832898847957
1321833600,2.45,3,2.25,2.25,2.6593119910068292,2.957378060047335,2.462557561487956,4.2621738921563495,0,1,0,0,0,0,0.38915559120358817
1321920000,2.53,2.59,2.46,2.59,2.6467098108237694,2.92238967337616,2.505038374325304,4.19659844540512,0,0,0,0,0,0,0.38564447754618897
1322092800,2.54,3,2.54,3,2.710944390673993,2.929781133054621,2.670025582883536,4.149673016173546,0,0,0,0,0,0,0.39095558629288973
1322179200,2.5,15,2.5,2.75,2.718045410551449,2.9126591203827523,2.696683721922357,4.094783878284387,1,0,0,0,0,0,1.2558873301291118
1322265600,2.77,2.77,2.77,2.77,2.7274916995420946,2.899072537489157,2.7211224812815713,4.0428315693320585,0,0,0,0,0,0,1.167609663691318
1322438400,2.67,2.78,2.66,2.66,2.715220481443532,2.8763037243949516,2.7007483208543808,3.9886028803386444,0,0,0,0,0,0,1.092780401999081
1322524800,2.69,3.23,2.69,2.72,2.7160894848174353,2.8614176554049564,2.707165547236254,3.938853747776345,0,0,0,0,0,0,1.0554389447134322
1322611200,3.19,3.19,3.19,3.19,2.802255033032447,2.892711212033056,2.8681103648241693,3.909486934138057,0,0,0,0,0,0,1.0136218772339014
1322697600,3.46,3.48,3.3,3.42,2.9145722997538206,2.9429291918394314,3.052073576549446,3.8902913680934272,1,0,0,0,0,0,0.9619346002886228
1322784000,3.45,3.45,3.04,3.04,2.937377336162217,2.9521740307118667,3.048049051032964,3.8569466085603517,0,0,0,0,0,0,0.9225107002680069
1322870400,2.93,2.93,2.93,2.93,2.936036002314541,2.9500622182631173,3.0086993673553093,3.820595761165828,0,0,0,0,0,0,0.8644742216774349
1323043200,2.82,2.99,2.82,2.93,2.9349385473482608,2.948151530809487,2.9824662449035397,3.7856704371985406,0,1,0,0,0,0,0.8148689201290467
1323129600,2.9,3.25,2.89,2.98,2.943131538739486,2.951184718351441,2.9816441632690265,3.7540755180927157,0,0,0,0,0,0,0.7823782829769719
1323216000,3.05,3.35,3.05,3.3,3.008016713514125,2.9844052213655896,3.0877627755126844,3.7362686350302563,0,0,0,0,0,0,0.7529226913357595
1323302400,3.27,3.5,2.95,3.3,3.0611045837842843,3.0144618669498193,3.1585085170084564,3.7191600611075013,1,0,0,0,0,0,0.7384282133832052
1323475200,3.2,3.2,3,3.2,3.0863582958235054,3.032132165335551,3.172339011338971,3.6988008430248542,0,0,0,0,0,0,0.707111912427262
1323561600,3.17,3.37,3.17,3.27,3.119747696582868,3.0547862448274032,3.204892674225981,3.6819851236905463,0,0,0,0,0,0,0.6708896329681718
1323648000,3.37,3.6,3.37,3.48,3.185248115385983,3.095282792939079,3.296595116150654,3.67406413844778,1,0,0,0,0,0,0.6465403734704454
1323734400,3.25,3.59,3.25,3.56,3.2533848216794405,3.1395415745639284,3.384396744100436,3.6695910349792396,0,0,0,0,0,0,0.6246446325082706
1323820800,3.42,3.49,3.42,3.47,3.292769399555906,3.17101380555784,3.4129311627336243,3.661763935568289,0,0,0,0,0,0,0.59002715875768
1323907200,3.39,3.45,3.39,3.45,3.321356781454832,3.197583919314236,3.4252874418224164,3.6534594675067877,0,0,0,0,0,0,0.5535966474178456
1323993600,3.25,3.5,3.25,3.44,3.3429282757357717,3.2206711650938327,3.430191627881611,3.6450885079967175,0,0,0,0,0,0,0.5319111726022853
1324166400,3.25,3.5,3.25,3.5,3.3714867710565404,3.2472739112753723,3.4534610852544074,3.6393987625850817,0,0,0,0,0,0,0.5117746602735506
1324252800,3.5,3.98,3.5,3.85,3.4584891763189876,3.304676395915813,3.585640723502938,3.6476576346405687,0,0,0,0,0,0,0.5095050416825827
1324339200,4.75,4.75,4.53,4.55,3.6569456897155352,3.423278643923831,3.9070938156686252,3.683043609752703,1,0,0,0,0,0,0.5373975387052553
1324425600,4.38,4.38,4.38,4.38,3.788410109767256,3.514394963550133,4.06472921044575,3.710375232899656,0,0,0,0,0,0,0.5111548573691657
1324512000,4.19,4.19,4.17,4.17,3.857790089809573,3.57683353845012,4.0998194736305,3.728399733570258,0,0,0,0,0,0,0.489643796128511
1324598400,3.86,4.35,3.84,4.22,3.9236464371169233,3.638087487169156,4.139879649087,3.747678175391032,0,1,0,0,0,0,0.4910978106907602
1324684800,4.33,4.33,4.33,4.33,3.9975289030956644,3.70398391696257,4.2032530993913335,3.7705143253756974,0,0,0,0,0,0,0.4638765384985631
1324771200,4.32,4.32,4.27,4.27,4.0470691025328165,3.7578902105851824,4.225502066260889,3.790101998890376,0,0,0,0,0,0,0.43502821432009436
1324857600,4.27,4.33,4.27,4.33,4.098511083890486,3.812376857196117,4.260334710840593,3.811274469522126,0,0,0,0,0,0,0.40824048472580193
1324944000,4.33,4.33,4.29,4.29,4.133327250455852,3.857864775558392,4.270223140560395,3.8300480197369446,0,0,0,0,0,0,0.3819375929596732
1325030400,4.29,4.3,4.25,4.3,4.163631386736606,3.8999728921718786,4.280148760373597,3.848477509159025,0,0,0,0,0,0,0.3582277648911251
1325116800,4.3,4.5,4.3,4.5,4.22478931642086,3.957118331012652,4.353432506915731,3.874027410760632,0,0,0,0,0,0,0.3469257816846162
1325203200,4.26,4.5,4.21,4.21,4.222100349798885,3.9812022994876375,4.305621671277154,3.887202806417078,0,1,0,0,0,0,0.3428596544214293
1325289600,4.39,4.58,4.39,4.58,4.287173013471815,4.038230651917386,4.397081114184769,3.9143713238124866,0,0,0,0,0,0,0.3447982505341844
1325376000,4.58,5,4.58,5,4.4167779201133035,4.129827732687159,4.598054076123179,3.9569449973884674,0,0,0,0,0,0,0.3501698040674569
1325462400,5,5,5,5,4.522818298274521,4.212701281955049,4.732036050748786,3.997849115137939,0,0,0,0,0,0,0.3251576752054957
1325548800,5.32,5.32,5.14,5.29,4.662305880406426,4.315301159864092,4.918024033832524,4.04852169885802,0,0,0,0,0,0,0.3247892698336746
1325635200,4.93,5.57,4.93,5.57,4.827341174877985,4.4347962874960825,5.13534935588835,4.108187514589078,0,1,0,0,0,0,0.3473043219884122
1325721600,5.72,6.65,5.72,6.65,5.158733688536533,4.645768069639312,5.6402329039255665,4.207866435585585,0,0,0,0,0,0,0.3996397275606685
1325808000,6.65,6.9,6,6,5.311691199711709,4.774742539197473,5.760155269283711,4.278146183209679,0,0,0,0,0,0,0.43537974702062077
1325894400,6.8,6.8,6.8,6.8,5.582292799764126,4.967624202131047,6.106770179522474,4.3770424113191035,0,0,0,0,0,0,0.46142405080486215
1325980800,6.9,7,6.9,7,5.840057745261557,5.16118380192809,6.4045134530149825,4.479903493228158,0,0,0,0,0,0,0.44275090431880054
1326067200,6.99,6.99,6.23,6.3,5.923683609759456,5.269642487458747,6.369675635343322,4.551279826827054,0,1,0,0,0,0,0.4661258397246005
1326153600,6.24,7.14,6.24,7.14,6.144832044348646,5.447771774367438,6.626450423562215,4.652798264990699,0,0,0,0,0,0,0.49711685117284327
1326240000,7.14,7.33,6.25,7,6.300317127194346,5.595603033951492,6.7509669490414765,4.74484539185381,0,0,0,0,0,0,0.5387513618033545
1326326400,6.95,7.38,6.51,6.51,6.338441285886283,5.682688459289445,6.670644632694318,4.814067141192876,1,0,0,0,0,0,0.5624119788174006
1326412800,6.8,7.36,6.6,6.6,6.38599741572514,5.770051463166641,6.647096421796212,4.884103723891195,0,0,0,0,0,0,0.5829539803304434
1326499200,6.5,6.5,6.3,6.3,6.370361521956933,5.820522752388865,6.531397614530808,4.939629068052324,0,0,0,0,0,0,0.5627429817354118
1326585600,7.15,7.15,7.15,7.15,6.5121139725102175,5.947139633113736,6.737598409687205,5.02631028106988,0,0,0,0,0,0,0.5832613401828824
1326672000,6.2,7.1,6.2,7.1,6.619002341144723,6.056935858531475,6.85839893979147,5.10763144651812,0,0,0,0,0,0,0.609456958741248
1326758400,6.5,6.9,6,6,6.506456460936592,6.051513395814192,6.57226595986098,5.142626291752704,0,0,0,0,0,0,0.6444957474025873
1326844800,5.99,7.1,5.99,7.1,6.614373468039029,6.151369262879507,6.748177306573987,5.219386045017304,0,0,0,0,0,0,0.6777460511595452
1326931200,5.52,7,5.52,6.22,6.542669201122842,6.157905523557649,6.572118204382658,5.258625807957801,0,1,0,0,0,0,0.7421927617910064
1327017600,6.9,6.95,6.55,6.95,6.616729346373234,6.233343092742635,6.698078802921772,5.324954207645731,0,0,0,0,0,0,0.7413218502345059
1327104000,6.3,6.77,6.28,6.77,6.644596737941737,6.284453274386194,6.722052535281182,5.381622670090996,0,0,0,0,0,0,0.7362274323606126
1327190400,6.79,6.83,6.03,6.79,6.671033694679603,6.332600581587509,6.744701690187455,5.436853153616839,0,0,0,0,0,0,0.740782615763426
1327276800,6.5,6.52,6,6.52,6.643573022919675,6.350448145245841,6.669801126791636,5.479329500533826,0,0,0,0,0,0,0.7442981432088954
1327363200,6.52,6.57,6,6.55,6.626559746025189,6.369453083793856,6.629867417861091,5.521316578944264,0,0,0,0,0,0,0.7318482758368315
1327449600,6.26,6.86,6,6.31,6.569003428566063,6.363790885337298,6.523244945240727,5.552245340554292,1,0,0,0,0,0,0.741001970419915
1327536000,6.27,6.3,5.5,5.5,6.3746391688267785,6.281525086733746,6.182163296827151,5.55019650366981,0,0,0,0,0,0,0.7459304011042066
1327622400,3.8,6.03,3.8,5.88,6.284704774494637,6.2432846022829125,6.081442197884767,5.563129974114132,0,1,0,0,0,0,0.8519353724539062
1327708800,4.91,4.91,4.91,4.91,6.034758451859249,6.1163051163512066,5.690961465256511,5.537517033952793,0,0,0,0,0,0,0.86036856013577
1327795200,5.89,5.9,5.3,5.5,5.937529642430294,6.057609390984425,5.6273076435043405,5.53604577771935,0,0,0,0,0,0,0.8696279486975007
1327881600,5.3,5.58,5.3,5.58,5.872524252897514,6.012122782319241,5.611538429002894,5.537769472710748,0,0,0,0,0,0,0.8275116666476793
1327968000,5.7,6.22,3.8,5.3,5.768428934188875,5.944301564955504,5.507692286001929,5.528445179663268,0,1,0,0,0,0,0.9412608333157022
1328054400,5.53,5.99,5.52,5.88,5.78871458251817,5.938177606388313,5.6317948573346195,5.542231643205885,0,0,0,0,0,0,0.9233136309360093
1328140800,5.99,6.28,5.89,6.28,5.878039203878503,5.970732120065617,5.84786323822308,5.571163735629184,0,0,0,0,0,0,0.8859340858691515
1328227200,6.29,6.35,5.93,6.3,5.954759348627866,6.002090965773653,5.99857549214872,5.599745549918235,0,0,0,0,0,0,0.8526530797356406
1328313600,6.35,6.5,5.94,5.94,5.952075830695527,5.9961775404618765,5.979050328099147,5.613088861686148,1,0,0,0,0,0,0.8317492883259521
1328400000,5.93,6.15,5.6,5.6,5.88806204329634,5.958446346132174,5.852700218732765,5.612575572992573,0,0,0,0,0,0,0.8116243391598127
1328486400,5.6,5.9,5.2,5.6,5.83568712633337,5.924308598881491,5.7684668124885095,5.612082413267374,0,1,0,0,0,0,0.8036511720769689
1328572800,5.5,5.88,5.5,5.69,5.809198557909121,5.901993494226111,5.742311208325673,5.615138004903947,0,0,0,0,0,0,0.773390374071471
1328659200,5.79,5.87,5.66,5.87,5.820253365562008,5.898946494776005,5.784874138883782,5.62513259294693,0,0,0,0,0,0,0.7331482044949374
1328745600,5.52,5.89,5.51,5.89,5.832934571823461,5.89809444765448,5.819916092589188,5.635519550086266,1,0,0,0,0,0,0.707923332745299
1328832000,5.88,5.88,5.8,5.88,5.841491922401014,5.896371166925482,5.839944061726126,5.645107018710334,0,0,0,0,0,0,0.6637859518349204
1328918400,5.71,5.71,5.5,5.5,5.779402481964466,5.858621531980198,5.726629374484084,5.63941654738836,0,0,0,0,0,0,0.6435155267038546
1329004800,5.78,5.78,5.55,5.67,5.75951112160729,5.840657576553513,5.707752916322723,5.64061589847117,0,0,0,0,0,0,0.6175501319392936
1329091200,5.53,5.79,5.5,5.79,5.765054554042329,5.835833045453178,5.735168610881815,5.646474098531124,0,0,0,0,0,0,0.5941536939436298
1329177600,5.2,5.8,4.56,4.89,5.605953726034633,5.74575370779097,5.453445740587877,5.616808447608335,1,0,0,0,0,0,0.6402855729476562
1329264000,4.9,5.08,4.69,4.69,5.439416684937427,5.645205735620402,5.198963827058584,5.580463018290361,0,0,0,0,0,0,0.6224080320228236
1329350400,4.5,4.98,4.15,4.51,5.270431833130623,5.537090903656554,4.969309218039056,5.538484076396622,0,0,0,0,0,0,0.637236029735479
