time,open,high,low,close
1770591600,25113.9,25124.5,25083.6,25091.5
1770591660,25091.7,25113.8,25087.8,25112.3
1770591720,25112.5,25137.3,25111.1,25137.3
1770591780,25137.1,25139.1,25122.5,25138.2
1770591840,25138.1,25155.7,25136,25150.7
1770591900,25150.9,25167.1,25150.9,25162.7
1770591960,25162.9,25162.9,25139.7,25146.2
1770592020,25146.3,25161.6,25141.9,25156.1
1770592080,25156.8,25157.6,25147.6,25157.6
1770592140,25157.8,25158.3,25148.3,25151.6
1770592200,25151.5,25156.5,25141.8,25145.4
1770592260,25145.3,25150.8,25142.6,25150.5
1770592320,25150.7,25152.4,25145.2,25148.6
1770592380,25148.7,25153.1,25146.8,25147.8
1770592440,25147.6,25157.6,25146.1,25154.7
1770592500,25154.6,25156.3,25146.5,25153.7
1770592560,25155,25164.3,25154.6,25158.9
1770592620,25158.4,25166.1,25156.4,25163.8
1770592680,25164,25173.7,25164,25170.2
1770592740,25167.8,25168.5,25154.5,25165
1770592800,25165.1,25166.2,25158.3,25163.7
1770592860,25163.9,25164.6,25157,25159.4
1770592920,25158.6,25164.2,25156.9,25163.2
1770592980,25163.1,25163.9,25157.7,25163.9
1770593040,25163.6,25165,25155.8,25163.8
1770593100,25163.9,25172.3,25163.9,25166.9
1770593160,25166.7,25167.6,25152.6,25153.6
1770593220,25153.9,25160.3,25153.1,25153.2
1770593280,25153.7,25153.7,25144.7,25148.5
1770593340,25148.7,25148.7,25144.4,25146
1770593400,25145.3,25159.4,25145,25154.7
1770593460,25154.8,25155.8,25142.5,25142.5
1770593520,25140.5,25144.8,25132.4,25138.2
1770593580,25138.5,25155.9,25136,25151
1770593640,25150,25156.4,25148.1,25154.6
1770593700,25154.7,25178.7,25154.7,25173.1
1770593760,25173.6,25177.1,25167.4,25173.2
1770593820,25173.1,25185.4,25171,25175.2
1770593880,25176.5,25182.9,25172.8,25175.3
1770593940,25177.8,25182.3,25175.3,25181.9
1770594000,25181.8,25183.2,25165.8,25166.6
1770594060,25168.7,25179.4,25168.7,25173
1770594120,25173.1,25180.4,25169.3,25177.5
1770594180,25177.4,25180.8,25175.2,25175.2
1770594240,25175.1,25185.8,25171,25182.5
1770594300,25183,25188,25178.8,25182.8
1770594360,25183.1,25193.7,25182.6,25192.8
1770594420,25192.9,25199.7,25188.9,25189.3
1770594480,25189.1,25193.7,25184.5,25185.7
1770594540,25185.2,25195.3,25184.7,25194.3
1770594600,25195.5,25204.5,25194.5,25194.5
1770594660,25194.7,25203.6,25192.2,25193.7
1770594720,25193.6,25193.6,25183.7,25186.7
1770594780,25188,25190.7,25184.8,25189
1770594840,25188.9,25195,25183.6,25189.3
1770594900,25187,25196.7,25187,25192.6
1770594960,25192.5,25195.8,25175.7,25176.9
1770595020,25177.1,25187.6,25177.1,25182.7
1770595080,25182,25182.4,25172,25176.7
1770595140,25176.8,25188,25176.7,25185.7
1770595200,25183.3,25215.6,25180.2,25206.2
1770595260,25205.9,25214.3,25201.3,25209.2
1770595320,25210.7,25219.8,25206.1,25215.5
1770595380,25213.1,25221.6,25206.5,25221.5
1770595440,25221.1,25237.2,25221,25236.2
1770595500,25236.6,25239.2,25226.5,25231.3
1770595560,25231.5,25237,25222.1,25236.8
1770595620,25237.1,25242.2,25226.7,25227.1
1770595680,25227.6,25238.8,25224.1,25226.3
1770595740,25226.4,25242.9,25222.9,25240.1
1770595800,25239.9,25243.3,25232.4,25232.6
1770595860,25233,25234.6,25216.5,25224.2
1770595920,25224.3,25229.4,25207.9,25222.2
1770595980,25222,25237.9,25220.8,25236.4
1770596040,25236.2,25239.7,25230.4,25238.4
1770596100,25238.9,25239.9,25224.6,25229.3
1770596160,25229.2,25234.1,25219.8,25223.1
1770596220,25223.6,25225.2,25209.6,25214.4
1770596280,25214.5,25224.2,25211.8,25216.6
1770596340,25216.7,25231.8,25216.7,25230.9
1770596400,25229.8,25251,25229.8,25250.2
1770596460,25250.1,25255.7,25244.5,25251.8
1770596520,25250.2,25254,25244.1,25246.4
1770596580,25247,25249.4,25235.8,25239.5
1770596640,25239.6,25239.6,25223.2,25223.3
1770596700,25223.8,25230.2,25215.2,25221.4
1770596760,25220.6,25225,25212,25217.5
1770596820,25217,25217.8,25203.8,25217.4
1770596880,25217.2,25222.3,25207.5,25211.1
1770596940,25211.6,25212.3,25202.4,25203.2
1770597000,25203.6,25218.5,25203.6,25216.1
1770597060,25216,25217.5,25198,25214.7
