Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Positionsgröße (Menge),Positionsgröße (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
1,Long-Ausstieg,2022-01-05 10:00,Partial TP,1816.75,2.7,4905.144,-0.9,-0.02,1.91,0.04,-11.99,-0.24,-1.39,-0.01
1,Long-Einstieg,2022-01-05 06:00,Long,1816.72,2.7,4905.144,-0.9,-0.02,1.91,0.04,-11.99,-0.24,-1.39,-0.01
2,Long-Ausstieg,2022-01-06 02:00,SL Long,1807.58,2.7,4905.144,-25.66,-0.52,34.37,0.70,-25.17,-0.51,-26.56,-0.27
2,Long-Einstieg,2022-01-05 06:00,Long,1816.72,2.7,4905.144,-25.66,-0.52,34.37,0.70,-25.17,-0.51,-26.56,-0.27
3,Long-Ausstieg,2022-01-10 12:00,Partial TP,1799.74,2.7,4856.436,1.89,0.04,5.05,0.10,0,0.00,-25.17,-0.25
3,Long-Einstieg,2022-01-10 10:00,Long,1798.68,2.7,4856.436,1.89,0.04,5.05,0.10,0,0.00,-25.17,-0.25
4,Long-Ausstieg,2022-01-10 14:00,SL Long,1790.63,2.8,5036.304,-23.55,-0.47,9.74,0.19,-23.04,-0.46,-48.21,-0.48
4,Long-Einstieg,2022-01-10 10:00,Long,1798.68,2.8,5036.304,-23.55,-0.47,9.74,0.19,-23.04,-0.46,-48.21,-0.48
5,Long-Ausstieg,2022-01-19 16:00,Partial TP,1827.17,2.7,4914.432,17.94,0.37,22,0.45,0,0.00,-30.76,-0.31
5,Long-Einstieg,2022-01-19 14:00,Long,1820.16,2.7,4914.432,17.94,0.37,22,0.45,0,0.00,-30.76,-0.31
6,Long-Ausstieg,2022-01-20 16:00,Partial TP,1846.17,1.3,2366.208,33.34,1.41,34.67,1.46,0,0.00,2.81,0.03
6,Long-Einstieg,2022-01-19 14:00,Long,1820.16,1.3,2366.208,33.34,1.41,34.67,1.46,0,0.00,2.81,0.03
