time,open,high,low,close,EMA1,EMA2,EMA3,EMA4,Fractal High,Fractal Low,HH,LH,LL,HL,ATR
893196000,310.3,314.4,310,313.5,,,,,0,0,0,0,0,0,
893282400,312.6,315.2,311.9,314.3,,,,,0,0,0,0,0,0,
893368800,313.4,314.2,311.8,312.9,,,,,0,0,0,0,0,0,
893628000,312.25,313.65,308.9,309.9,,,,,0,0,0,0,0,0,
893714400,309.39,310.9,306.3,308.2,,,311.76,,0,0,0,0,0,0,
893800800,307.65,311.4,307,310.5,,,311.34,,0,0,0,0,0,0,
893887200,310.79,312.1,305.5,306.9,,,309.85999999999996,,1,0,0,0,0,0,
893973600,306.25,307.2,301.1,302.5,,,307.40666666666664,,0,1,0,0,0,0,
894232800,302.45,306,302,304.6,,,306.4711111111111,,0,0,0,0,0,0,
894319200,303.65,305.25,302.5,303.6,308.69,,305.5140740740741,,0,0,0,0,0,0,
894405600,303.6,304.3,299.4,301,307.2918181818182,,304.0093827160494,,0,0,0,0,0,0,
894492000,300.45,301.5,296.6,298.75,305.73876033057854,,302.25625514403293,,0,1,0,0,0,0,
894578400,297.2,301.8,297.2,300.1,304.71353117956426,,301.5375034293553,,0,0,0,0,0,0,
894837600,299.55,301.6,297.7,300.6,303.9656164196435,,301.2250022862369,,0,0,0,0,0,0,4.407142857142857
894924000,299.8,300.6,296.9,298.2,302.91732252516283,,300.2166681908246,,0,0,0,0,0,0,4.356632653061228
895010400,297.8,300.1,295.2,298.7,302.1505366114969,,299.7111121272164,,0,0,0,0,0,0,4.395444606413999
895096800,297.8,298.8,295.1,298.8,301.5413481366793,,299.4074080848109,,0,1,0,0,0,0,4.345769991670141
895183200,298.6,303.9,298.6,301.5,301.5338302936467,,300.1049387232073,,1,0,0,0,0,0,4.413929277979414
895442400,301,302.2,298.5,299.8,301.21858842207456,,300.0032924821382,,0,0,0,0,0,0,4.362934329552313
895528800,299.15,300.7,298.1,299,300.8152087089701,304.1675,299.6688616547588,,0,0,0,0,0,0,4.237010448870002
895615200,297.85,301.4,297,299.9,300.648807125521,303.7610714285714,299.7459077698392,,0,1,0,0,0,0,4.248652559665
895701600,299.1,300.9,298.7,300.9,300.69447855724445,303.48858843537414,300.1306051798928,,0,0,0,0,0,0,4.102320233974643
895788000,301,301.7,299.2,300.1,300.58639154683635,303.1658657272433,300.1204034532619,,1,0,0,0,0,0,3.98786878869074
896047200,298.85,299.5,298.8,299.5,300.38886581104794,302.816735657982,299.9136023021746,,0,0,0,0,0,0,3.7958781609271166
896133600,299.3,300.1,294.7,295.8,299.55452657267557,302.1484751191266,298.54240153478304,,0,0,0,0,0,0,3.910458292289468
896220000,294.75,296.5,290.4,293.35,298.4264308321891,301.3105251077812,296.8116010231887,,0,1,0,0,0,0,4.066854128554508
896306400,294.15,295,292.8,293.45,297.52162522633654,300.56190366894486,295.69106734879244,,0,0,0,0,0,0,3.9335074050863277
896392800,292.65,294.8,291.2,293.2,296.73587518518445,299.8607699861882,294.8607115658616,,0,0,0,0,0,0,3.9096854475801632
896652000,292.75,293.4,288.1,288.7,295.2748069696964,298.7978395113131,292.80714104390773,,0,0,0,0,0,0,4.008993629895863
896738400,288,292.3,286.75,291.4,294.57029661156974,298.0932833673785,292.3380940292718,,0,1,0,0,0,0,4.119065513474731
896824800,290.85,294.65,290,293.4,294.35751540946615,297.6463039990567,292.6920626861812,,1,0,0,0,0,0,4.156989405369392
896911200,291.9,293.4,291.4,293.4,294.1834216986541,297.24189409438463,292.92804179078746,,0,0,0,0,0,0,4.002918733557292
896997600,292.6,294.2,290.3,291.9,293.76825411708063,296.7331422758718,292.5853611938583,,0,0,0,0,0,0,3.9955673954460558
897256800,290.95,296.7,289,296.7,294.30129882306596,296.7299858686459,293.9569074625722,,0,0,0,0,0,0,4.260169724342766
897343200,294.9,299.3,292.3,293.9,294.22833540069036,296.4604634049653,293.93793830838143,,1,0,0,0,0,0,4.455871886889711
897429600,292.8,295.6,288.65,293.5,294.09591078238304,296.17851450925434,293.79195887225427,,0,0,0,0,0,0,4.634023894969021
897516000,292.35,294.8,286.5,287.3,292.8602906401316,295.33294169884914,291.62797258150283,,0,0,0,0,0,0,4.8958793310426625
897602400,286.5,289.4,284.5,286.25,291.65841961465316,294.4678996322921,289.83531505433524,,0,0,0,0,0,0,4.896173664539613
897861600,285.25,287.1,283.7,285.1,290.4659796847162,293.57571871493093,288.25687670289017,,0,1,0,0,0,0,4.7893041170725
