time,open,high,low,close,EMA1,EMA2,EMA3,EMA4,Fractal High,Fractal Low,HH,LH,LL,HL,ATR
893023200,310.3,315.2,310,312.9,,,,,0,0,0,0,0,0,
893628000,312.25,313.65,301.1,302.5,,,,,0,0,0,0,0,0,
894232800,302.45,306,296.6,300.1,,,,,0,0,0,0,0,0,
894837600,299.55,303.9,295.1,301.5,,,,,0,0,0,0,0,0,
895442400,301,302.2,297,300.1,,,303.41999999999996,,0,0,0,0,0,0,
896047200,298.85,300.1,290.4,293.2,,,300.0133333333333,,0,0,0,0,0,0,
896652000,292.75,294.65,286.75,291.9,,,297.3088888888889,,0,0,0,0,0,0,
897256800,290.95,299.3,284.5,286.25,,,293.6225925925926,,0,0,0,0,0,0,
897861600,285.25,300.5,283.7,299,,,295.4150617283951,,1,1,0,0,0,0,
898466400,299.29,299.8,291.9,294.1,298.15500000000003,,294.97670781893004,,0,0,0,0,0,0,
899071200,292.9,298.7,291.9,295.1,297.5995454545455,,295.01780521262003,,0,0,0,0,0,0,
899676000,293.85,296.15,289.5,291.1,296.4178099173554,,293.7118701417467,,0,0,0,0,0,0,
900280800,289.6,295.7,288,294.75,296.11457175056347,,294.0579134278311,,0,0,0,0,0,0,
900885600,293.45,296.1,290.2,291.7,295.3119223413701,,293.27194228522075,,0,0,0,0,0,0,8.949999999999998
901490400,291.1,292.4,285.7,286.7,293.74611827930283,,291.0812948568138,,0,0,0,0,0,0,8.789285714285711
902095200,286.2,290.35,282.5,286.9,292.5013695012478,,289.68752990454254,,0,0,0,0,0,0,8.72219387755102
902700000,286.1,287.7,282,284.3,291.0102114101118,,287.89168660302835,,0,0,0,0,0,0,8.506322886297374
903304800,284.2,287.3,282.2,285.05,289.9265366082733,,286.9444577353522,,0,0,0,0,0,0,8.263014108704706
903909600,283.9,285.55,270.75,274.6,287.13989358858726,,282.8296384902348,,0,1,0,0,0,0,8.729941672368657
904514400,273.9,287.7,273.8,287.1,287.1326402088441,292.9425,284.2530923268232,,0,0,0,0,0,0,9.099231552913752
905119200,286.5,297.3,282.9,294,288.38125107996336,293.04321428571427,287.5020615512155,,0,0,0,0,0,0,9.477857870562772
905724000,292.45,293.6,286.35,291.7,288.98465997451547,292.91528911564626,288.901374367477,,0,0,0,0,0,0,9.347296594094002
906328800,290.4,300.3,287.05,294.4,289.96926725187626,293.05669015225135,290.734249578318,,0,0,0,0,0,0,9.626061123087286
906933600,293.15,303.8,291.6,300.8,291.93849138789875,293.7941482329893,294.08949971887864,,0,0,0,0,0,0,9.80991390000962
907538400,300.1,305.2,293.8,297,292.8587656810081,294.0994674488951,295.0596664792524,,1,0,0,0,0,0,9.92349147858036
908143200,296.75,301.3,294.4,300.2,294.19353555718845,294.68047054900035,296.77311098616826,,0,0,0,0,0,0,9.707527801538907
908748000,299.8,300.3,291.2,293.1,293.99471091042693,294.52994954433365,295.54874065744553,,0,0,0,0,0,0,9.664132958571843
909356400,291.85,295,290.6,292.8,293.77749074489475,294.3651924448733,294.6324937716304,,0,0,0,0,0,0,9.288123461530997
909961200,292.6,295.1,287.6,293.4,293.7088560640048,294.2732693548854,294.22166251442025,,0,1,0,0,0,0,9.160400357135927
910566000,292.4,298,289.5,296.2,294.16179132509484,294.45676751156293,294.88110834294685,,0,0,0,0,0,0,9.11322890305479
911170800,295.5,298.65,293.25,296.4,294.5687383568958,294.64183727236644,295.38740556196456,,1,0,0,0,0,0,8.847998267122303
911775600,295.9,297.7,294.9,296.55,294.9289677465511,294.8235670559506,295.7749370413097,,0,0,0,0,0,0,8.415998390899283
912380400,295.8,296.8,291.2,292.7,294.52370088354184,294.6213225744315,294.74995802753983,,0,0,0,0,0,0,8.214855648692193
912985200,291.8,297.6,289.3,291.1,293.901209813807,294.2859585197237,293.53330535169323,,0,0,0,0,0,0,8.220937388071324
913590000,291.45,296.7,288.4,289.3,293.0646262112966,293.81110532736903,292.1222035677955,,0,0,0,0,0,0,8.2265847174948
914194800,289.5,291.1,285,286.5,291.8710578092427,293.1148095819053,290.24813571186365,,0,1,0,0,0,0,8.074685809102316
914799600,285.6,289,285.5,288.5,291.2581382075622,292.67530390743815,289.6654238079091,,0,0,0,0,0,0,7.747922537023579
915404400,288.3,292.6,285.9,291.6,291.32029489709635,292.57289401149166,290.3102825386061,,0,0,0,0,0,0,7.673070927236184
916009200,290.9,293.75,284.4,286.7,290.48024127944245,292.013570772302,289.1068550257374,,1,0,0,0,0,0,7.792851575290745
916614000,285.9,289,285.05,286.6,289.77474286499836,291.4979926035113,288.27123668382495,,0,0,0,0,0,0,7.518362177055691
917218800,286.2,288.7,281.4,286.4,289.1611532531805,291.012469498415,287.64749112255,,0,1,0,0,0,0,7.50276487869457
917823600,286.4,290.7,286,288.8,289.09548902532947,290.8017581176136,288.0316607483667,,0,0,0,0,0,0,7.302567387359242
918428400,288.4,290.8,286.2,289.8,289.223581929815,290.7063525826028,288.62110716557777,,0,0,0,0,0,0,7.109526859690726
919033200,289.15,290.95,284.2,288.6,289.1102033971214,290.50574757473584,288.6140714437185,,1,1,0,0,0,0,7.083846369712817
919638000,287.6,288.9,285.1,287.3,288.7810755067357,290.20043828190387,288.17604762914567,,0,0,0,0,0,0,6.849285914733327
920242800,286.5,289.6,285.1,288.2,288.67542541460193,290.00992035029395,288.18403175276376,,0,0,0,0,0,0,6.68147977796666
920847600,287.8,294.65,287.7,292.1,289.2980753392198,290.20897555502785,289.4893545018425,,1,0,0,0,0,0,6.700659793826183
921452400,291.9,292.45,281.4,284.5,288.4256980048162,289.6652635974061,287.82623633456166,,0,0,0,0,0,0,7.0113269514100285
922057200,283.7,285.8,278.7,280,286.89375291303145,288.74476230241504,285.2174908897078,,0,0,0,0,0,0,7.017660740595028
922662000,279.85,281.45,278.1,280.7,285.767616019753,287.9785944640898,283.7116605931385,291.69599999999997,0,0,0,0,0,0,6.755684973409666
923263200,279.6,282.5,277,281.8,285.0462312888888,287.39015689608124,283.07444039542565,291.3079215686274,0,1,0,0,0,0,6.66599318959469
923868000,281.65,285.4,280.5,284.5,284.94691650909084,287.11490385835924,283.54962693028375,291.04094425221064,0,0,0,0,0,0,6.539850818909352
924472800,283.3,285.65,282.35,283.8,284.7383862347107,286.7991987289917,283.63308462018915,290.7569856540847,0,0,0,0,0,0,6.3084329032729665
925077600,283.15,288.1,280.05,286.8,285.11322510112694,286.7992750405163,284.6887230801261,290.60180974608136,0,0,0,0,0,0,6.432830553039183
925682400,286.2,290.2,279.05,283,284.7290023554675,286.4374393223719,284.12581538675073,290.30369955996053,1,0,0,0,0,0,6.769771227822098
926287200,282.1,282.6,275.1,276.2,283.1782746544734,285.4624451011936,281.48387692450046,289.75061330270717,0,0,0,0,0,0,6.850501854406232
926892000,275.5,277.15,271.85,273.2,281.3640428991146,284.2945931867942,278.7225846163336,289.10156964377745,0,0,0,0,0,0,6.739751721948641
927496800,271.75,273.8,267.4,270.5,279.3887623720029,282.98082240709954,275.9817230775557,288.37209632441363,0,0,0,0,0,0,6.7154837418094555
928101600,269.9,271.65,263.25,265.5,276.86353284982056,281.31598217785194,272.48781538503715,287.47515137051505,0,0,0,0,0,0,6.835806331680208
928706400,264.4,267.9,256.9,260.9,273.96107233167135,279.3716029228184,268.62521025669145,286.43298857167133,0,1,0,0,0,0,7.133248736560192
929311200,259,263.65,257.75,259.8,271.3863319077311,277.5076407396928,265.68347350446095,285.3885576472921,0,0,0,0,0,0,7.045159541091606
929916000,258.8,261.9,257.7,259.7,269.2615442881436,275.81167495496015,263.6889823363073,284.3811632297512,0,0,0,0,0,0,6.841933859585062
930520800,259.35,263.9,258.8,263,268.12308169029933,274.59151543544016,263.4593215575382,283.5426862403492,1,0,0,0,0,0,6.71751001247184
931125600,262.8,263.75,255.25,257.4,266.17343047388124,272.9542282511125,261.43954770502546,282.5174828583747,0,0,0,0,0,0,6.844830725866709
931730400,256.5,257.55,252.45,254.1,263.9782612968119,271.15858746529227,258.9930318033503,281.4030717658894,0,0,0,0,0,0,6.720199959733374
932335200,253.75,257.4,252.05,255,262.34585015193704,269.61967437335966,257.6620212022335,280.36765718683495,0,1,0,0,0,0,6.622328534038131
932940000,255.4,257.5,252.6,256.2,261.22842285158487,268.3416101473254,257.174680801489,279.4199059246061,0,0,0,0,0,0,6.499305067321122
933544800,255.65,258.85,253.6,255.7,260.2232550603876,267.13764727615154,256.683120534326,278.4897135354059,0,0,0,0,0,0,6.410068991083901
934149600,255.7,261.95,255.15,260.9,260.34629959486256,266.54358563080376,258.088747022884,277.7999208477429,0,0,0,0,0,0,6.437921206006479
934754400,260.1,262.5,257.1,257.6,259.8469723957966,265.6918155707272,257.9258313485893,277.00776708900787,1,0,0,0,0,0,6.3637839770060145
935359200,256.85,258.15,251.7,254,258.78388650565176,264.57830932589604,256.61722089905953,276.10550171296836,0,1,0,0,0,0,6.369942264362727
935964000,253.25,256.7,253.05,254.5,258.0049980500787,263.6184703424774,255.91148059937302,275.2582271359892,0,0,0,0,0,0,6.175660674051102
936568800,254,257.85,253.95,256.8,257.7859074955189,262.9690922146224,256.20765373291533,274.5343750914406,0,0,0,0,0,0,6.013113483047454
937173600,256.25,258.2,254.5,255,257.27937885997005,262.210131051325,255.80510248861023,273.76832116628606,0,0,0,0,0,0,5.847891091401207
937778400,254.5,271.75,254.15,269,259.41040088543,262.8567852369131,260.2034016590735,273.58132817937286,0,0,0,0,0,0,6.687327442015406
938383200,268.5,327.8,268.5,310.3,268.6630552698973,267.37518664292134,276.9022677727157,275.02127609390726,0,0,0,0,0,0,10.44537548187145
938988000,307,342,307,322.2,278.3970452208251,272.5965974388336,292.0015118484771,276.8714221294403,1,0,0,0,0,0,12.199277233166345
939592800,319,326.6,310.5,316.4,285.30667336249326,276.7683500637066,300.13434123231804,278.4215624380897,0,0,0,0,0,0,12.477900287940178
940197600,313.38,320,300.1,303.9,288.6872782056763,279.3523167243059,301.38956082154533,279.4207168522823,0,0,0,0,0,0,13.00805026737302
940802400,301.3,304,285.75,300.2,290.7805003500988,281.3378103696101,300.99304054769686,280.2355907012124,0,1,0,0,0,0,13.382475248274947
941410800,294.5,299,286,291.6,290.92950028644447,282.31516176298055,297.86202703179794,280.68125381096877,0,0,0,0,0,0,13.440869873398166
