Datum,Nachricht
2016-01-26T15:30:00.000+01:00,✦ SHORT SETUP aktiviert – warte auf Fractal Low
2016-01-26T19:30:00.000+01:00,──── SHORT: Fractal Low gefunden ────
2016-01-26T19:30:00.000+01:00,FL Preis=2.04 | H2_EMA20=2.06 | Abstand=1.43%
2016-01-26T19:30:00.000+01:00,Entry=2.04 | SL=2.09 (mode=Halber Abstand) | last_fh=2.15
2016-01-26T19:30:00.000+01:00,→ SHORT ORDER PENDING gesetzt: Entry=2.04 SL=2.09
2016-01-26T19:30:00.000+01:00,──── Order Berechnung ────
2016-01-26T19:30:00.000+01:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-01-26T19:30:00.000+01:00,Entry=2.04 | SL=2.09 | SL-Dist=0.06 | Loss/Kontrakt=0.0575 | Qty=1739.13043478
2016-01-26T19:30:00.000+01:00,▶ SHORT STOP-ORDER platziert: Qty=1739.13043478 Entry(Stop)=2.04 SL=2.09
2016-01-26T21:30:00.000+01:00,──── Order Berechnung ────
2016-01-26T21:30:00.000+01:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-01-26T21:30:00.000+01:00,Entry=2.04 | SL=2.09 | SL-Dist=0.06 | Loss/Kontrakt=0.0575 | Qty=1739.13043478
2016-01-26T21:30:00.000+01:00,▶ SHORT STOP-ORDER platziert: Qty=1739.13043478 Entry(Stop)=2.04 SL=2.09
2016-01-27T15:30:00.000+01:00,──── Order Berechnung ────
2016-01-27T15:30:00.000+01:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-01-27T15:30:00.000+01:00,Entry=2.04 | SL=2.09 | SL-Dist=0.06 | Loss/Kontrakt=0.0575 | Qty=1739.13043478
2016-01-27T15:30:00.000+01:00,▶ SHORT STOP-ORDER platziert: Qty=1739.13043478 Entry(Stop)=2.04 SL=2.09
2016-01-27T17:30:00.000+01:00,──── Order Berechnung ────
2016-01-27T17:30:00.000+01:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-01-27T17:30:00.000+01:00,Entry=2.04 | SL=2.09 | SL-Dist=0.06 | Loss/Kontrakt=0.0575 | Qty=1739.13043478
2016-01-27T17:30:00.000+01:00,▶ SHORT STOP-ORDER platziert: Qty=1739.13043478 Entry(Stop)=2.04 SL=2.09
2016-01-27T17:30:00.000+01:00,⊘ ORDER STORNIERT: Entry zu weit weg! Entry=2.04 Close=2.15 Abstand=5.57% (Max=5%)
2016-01-28T17:30:00.000+01:00,✦ SHORT SETUP aktiviert – warte auf Fractal Low
2016-01-28T19:30:00.000+01:00,──── SHORT: Fractal Low gefunden ────
2016-01-28T19:30:00.000+01:00,FL Preis=2.07 | H2_EMA20=2.09 | Abstand=1.11%
2016-01-28T19:30:00.000+01:00,Entry=2.07 | SL=2.13 (mode=Halber Abstand) | last_fh=2.18
2016-01-28T19:30:00.000+01:00,→ SHORT ORDER PENDING gesetzt: Entry=2.07 SL=2.13
2016-01-28T19:30:00.000+01:00,──── Order Berechnung ────
2016-01-28T19:30:00.000+01:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-01-28T19:30:00.000+01:00,Entry=2.07 | SL=2.13 | SL-Dist=0.06 | Loss/Kontrakt=0.055 | Qty=1818.18181818
2016-01-28T19:30:00.000+01:00,▶ SHORT STOP-ORDER platziert: Qty=1818.18181818 Entry(Stop)=2.07 SL=2.13
2016-01-28T21:30:00.000+01:00,──── Order Berechnung ────
