Datum,Nachricht
2022-01-03T00:00:00.000+01:00,XAUUSD 120 bar#0 | ADX BLOCK: chart=NaN daily=10.5 threshold=20
2022-01-05T06:00:00.000+01:00,XAUUSD 120 bar#27 | ADX PASS: chart=28 daily=9
2022-01-07T18:00:00.000+01:00,XAUUSD 120 bar#57 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2022-01-07T18:00:00.000+01:00,XAUUSD 120 bar#57 | waiting=true (Long)
2022-01-11T00:00:00.000+01:00,XAUUSD 120 bar#72 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-01-14T04:00:00.000+01:00,XAUUSD 120 bar#110 | ADX BLOCK: chart=19.1 daily=9.3 threshold=20
2022-01-18T20:00:00.000+01:00,XAUUSD 120 bar#141 | ADX PASS: chart=20.1 daily=9.5
2022-01-19T10:00:00.000+01:00,XAUUSD 120 bar#148 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2022-01-19T10:00:00.000+01:00,XAUUSD 120 bar#148 | waiting=true (Long)
2022-01-20T16:00:00.000+01:00,XAUUSD 120 bar#163 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-01-24T16:00:00.000+01:00,XAUUSD 120 bar#187 | ADX BLOCK: chart=19.2 daily=10.8 threshold=20
2022-01-25T22:00:00.000+01:00,XAUUSD 120 bar#202 | ADX PASS: chart=20.6 daily=11.9
2022-01-31T14:00:00.000+01:00,XAUUSD 120 bar#246 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2022-01-31T14:00:00.000+01:00,XAUUSD 120 bar#246 | waiting=true (Long)
2022-02-01T20:00:00.000+01:00,XAUUSD 120 bar#261 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-02-02T04:00:00.000+01:00,XAUUSD 120 bar#265 | ADX BLOCK: chart=19.8 daily=12.8 threshold=20
2022-02-02T08:00:00.000+01:00,XAUUSD 120 bar#267 | ADX PASS: chart=20.3 daily=12.8
2022-02-02T10:00:00.000+01:00,XAUUSD 120 bar#268 | ADX BLOCK: chart=19.5 daily=12.8 threshold=20
2022-02-03T20:00:00.000+01:00,XAUUSD 120 bar#285 | ADX PASS: chart=20.5 daily=12.7
2022-02-07T12:00:00.000+01:00,XAUUSD 120 bar#305 | ADX BLOCK: chart=19 daily=12.6 threshold=20
2022-02-07T20:00:00.000+01:00,XAUUSD 120 bar#309 | ADX PASS: chart=20.1 daily=12.6
2022-02-11T12:00:00.000+01:00,XAUUSD 120 bar#353 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2022-02-11T12:00:00.000+01:00,XAUUSD 120 bar#353 | waiting=true (Long)
2022-02-14T18:00:00.000+01:00,XAUUSD 120 bar#368 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-02-16T14:00:00.000+01:00,XAUUSD 120 bar#390 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2022-02-16T14:00:00.000+01:00,XAUUSD 120 bar#390 | waiting=true (Long)
2022-02-17T20:00:00.000+01:00,XAUUSD 120 bar#405 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-02-23T06:00:00.000+01:00,XAUUSD 120 bar#445 | ADX BLOCK: chart=19.5 daily=23.8 threshold=20
2022-02-24T04:00:00.000+01:00,XAUUSD 120 bar#456 | ADX PASS: chart=22.6 daily=25.4
2022-02-28T08:00:00.000+01:00,XAUUSD 120 bar#482 | ADX BLOCK: chart=19.9 daily=31.1 threshold=20
2022-03-01T22:00:00.000+01:00,XAUUSD 120 bar#501 | ADX PASS: chart=20.2 daily=36.5
2022-03-02T16:00:00.000+01:00,XAUUSD 120 bar#510 | ADX BLOCK: chart=18.6 daily=36.5 threshold=20
2022-03-04T14:00:00.000+01:00,XAUUSD 120 bar#533 | ADX PASS: chart=20.3 daily=41.4
2022-03-10T10:00:00.000+01:00,XAUUSD 120 bar#579 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2022-03-10T10:00:00.000+01:00,XAUUSD 120 bar#579 | waiting=true (Long)
2022-03-11T16:00:00.000+01:00,XAUUSD 120 bar#594 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-03-16T19:00:00.000+01:00,XAUUSD 120 bar#632 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2022-03-16T19:00:00.000+01:00,XAUUSD 120 bar#632 | waiting=true (Long)
2022-03-18T01:00:00.000+01:00,XAUUSD 120 bar#647 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-03-21T13:00:00.000+01:00,XAUUSD 120 bar#665 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2022-03-21T13:00:00.000+01:00,XAUUSD 120 bar#665 | waiting=true (Long)
2022-03-21T21:00:00.000+01:00,XAUUSD 120 bar#669 | ADX BLOCK: chart=19.1 daily=46.7 threshold=20
2022-03-22T15:00:00.000+01:00,XAUUSD 120 bar#678 | ADX PASS: chart=21.8 daily=46.7
2022-03-22T19:00:00.000+01:00,XAUUSD 120 bar#680 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-03-23T09:00:00.000+01:00,XAUUSD 120 bar#687 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2022-03-23T09:00:00.000+01:00,XAUUSD 120 bar#687 | waiting=true (Long)
2022-03-24T05:00:00.000+01:00,XAUUSD 120 bar#697 | ADX BLOCK: chart=19.6 daily=43.7 threshold=20
2022-03-24T13:00:00.000+01:00,XAUUSD 120 bar#701 | ADX PASS: chart=20.7 daily=43.7
2022-03-24T15:00:00.000+01:00,XAUUSD 120 bar#702 | Timeout: kein Fractal innerhalb 15 Kerzen
