Datum,Nachricht
2026-02-09T00:00:00.000+01:00,MT BULLISH | CCI: NaN | ATR: NaN | Preis: 25091.5 | MT-Linie: NaN
2026-02-09T01:26:00.000+01:00,MT BEARISH | CCI: -3.9 | ATR: 14.4 | Preis: 25217.5 | MT-Linie: 25229.73
2026-02-09T01:33:00.000+01:00,MT BULLISH | CCI: 11.7 | ATR: 14.95 | Preis: 25226.2 | MT-Linie: 25226.06
2026-02-09T01:37:00.000+01:00,MT BEARISH | CCI: -62.8 | ATR: 12.38 | Preis: 25218.3 | MT-Linie: 25226.06
2026-02-09T02:31:00.000+01:00,MT BULLISH | CCI: 19.2 | ATR: 11.27 | Preis: 25165.6 | MT-Linie: 25167.54
2026-02-09T02:34:00.000+01:00,MT BEARISH | CCI: -10.8 | ATR: 11.02 | Preis: 25161.7 | MT-Linie: 25167.54
2026-02-09T02:35:00.000+01:00,MT BULLISH | CCI: 44.5 | ATR: 11.06 | Preis: 25166.3 | MT-Linie: 25167.54
2026-02-09T02:36:00.000+01:00,MT BEARISH | CCI: -5.6 | ATR: 11.12 | Preis: 25161.8 | MT-Linie: 25167.54
2026-02-09T03:07:00.000+01:00,MT BULLISH | CCI: 50.9 | ATR: 10.77 | Preis: 25145.4 | MT-Linie: 25134.79
2026-02-09T03:15:00.000+01:00,MT BEARISH | CCI: -17.2 | ATR: 10.14 | Preis: 25134.5 | MT-Linie: 25143.33
2026-02-09T03:17:00.000+01:00,MT BULLISH | CCI: 34.5 | ATR: 9.51 | Preis: 25140 | MT-Linie: 25143.33
2026-02-09T03:26:00.000+01:00,MT BEARISH | CCI: -79.6 | ATR: 9.73 | Preis: 25128.8 | MT-Linie: 25143.33
2026-02-09T03:30:00.000+01:00,MT BULLISH | CCI: 78.2 | ATR: 9.93 | Preis: 25147.2 | MT-Linie: 25143.33
2026-02-09T03:55:00.000+01:00,MT BEARISH | CCI: -4.4 | ATR: 7.32 | Preis: 25156.1 | MT-Linie: 25162.39
2026-02-09T04:53:00.000+01:00,MT BULLISH | CCI: 25.7 | ATR: 7.76 | Preis: 25128.8 | MT-Linie: 25124.29
2026-02-09T04:54:00.000+01:00,MT BEARISH | CCI: -29.3 | ATR: 7.82 | Preis: 25121.1 | MT-Linie: 25124.29
2026-02-09T05:00:00.000+01:00,MT BULLISH | CCI: 13.5 | ATR: 9.56 | Preis: 25121.6 | MT-Linie: 25114.82
2026-02-09T05:21:00.000+01:00,MT BEARISH | CCI: -1.5 | ATR: 5.58 | Preis: 25123.2 | MT-Linie: 25124.9
2026-02-09T05:23:00.000+01:00,MT BULLISH | CCI: 7.8 | ATR: 6.03 | Preis: 25124.7 | MT-Linie: 25124.9
2026-02-09T05:30:00.000+01:00,MT BEARISH | CCI: -48 | ATR: 5.31 | Preis: 25121.1 | MT-Linie: 25124.9
2026-02-09T06:11:00.000+01:00,MT BULLISH | CCI: 26.5 | ATR: 7.18 | Preis: 25107.7 | MT-Linie: 25101.24
2026-02-09T06:40:00.000+01:00,MT BEARISH | CCI: -25.5 | ATR: 7.25 | Preis: 25115.9 | MT-Linie: 25126.88
2026-02-09T06:52:00.000+01:00,MT BULLISH | CCI: 11.2 | ATR: 6.53 | Preis: 25123.2 | MT-Linie: 25114.04
2026-02-09T07:00:00.000+01:00,MT BEARISH | CCI: -258.7 | ATR: 11.62 | Preis: 25092.8 | MT-Linie: 25123.17
2026-02-09T07:33:00.000+01:00,MT BULLISH | CCI: 0.8 | ATR: 10.25 | Preis: 25094.3 | MT-Linie: 25091.96
2026-02-09T07:45:00.000+01:00,MT BEARISH | CCI: -47.2 | ATR: 9.23 | Preis: 25086.6 | MT-Linie: 25097.73
2026-02-09T07:47:00.000+01:00,MT BULLISH | CCI: 98.6 | ATR: 10.2 | Preis: 25106.1 | MT-Linie: 25097.73
2026-02-09T07:56:00.000+01:00,MT BEARISH | CCI: -89.1 | ATR: 10.5 | Preis: 25084.2 | MT-Linie: 25097.73
2026-02-09T08:42:00.000+01:00,MT BULLISH | CCI: 0.9 | ATR: 7.61 | Preis: 25061.6 | MT-Linie: 25049.87
2026-02-09T08:43:00.000+01:00,MT BEARISH | CCI: -8.5 | ATR: 7.13 | Preis: 25059.3 | MT-Linie: 25049.87
2026-02-09T08:45:00.000+01:00,MT BULLISH | CCI: 5.2 | ATR: 7.55 | Preis: 25060.4 | MT-Linie: 25049.87
2026-02-09T09:23:00.000+01:00,MT BEARISH | CCI: -3.2 | ATR: 10 | Preis: 25094.6 | MT-Linie: 25105.26
2026-02-09T09:26:00.000+01:00,MT BULLISH | CCI: 13.6 | ATR: 10.3 | Preis: 25099.9 | MT-Linie: 25105.26
2026-02-09T09:27:00.000+01:00,MT BEARISH | CCI: -14.3 | ATR: 10.03 | Preis: 25094.9 | MT-Linie: 25105.26
2026-02-09T09:52:00.000+01:00,MT BULLISH | CCI: 58.1 | ATR: 9.14 | Preis: 25095.8 | MT-Linie: 25090.21
2026-02-09T09:57:00.000+01:00,MT BEARISH | CCI: -43.5 | ATR: 7.49 | Preis: 25084.9 | MT-Linie: 25090.21
2026-02-09T10:04:00.000+01:00,MT BULLISH | CCI: 49.3 | ATR: 10.12 | Preis: 25089.1 | MT-Linie: 25086.67
2026-02-09T10:07:00.000+01:00,MT BEARISH | CCI: -53.7 | ATR: 9.89 | Preis: 25081.5 | MT-Linie: 25086.67
2026-02-09T10:09:00.000+01:00,MT BULLISH | CCI: 7.3 | ATR: 8.93 | Preis: 25086.9 | MT-Linie: 25086.67
2026-02-09T10:10:00.000+01:00,MT BEARISH | CCI: -49.3 | ATR: 8.5 | Preis: 25083.4 | MT-Linie: 25086.67
2026-02-09T11:50:00.000+01:00,MT BULLISH | CCI: 41.3 | ATR: 15.35 | Preis: 24947 | MT-Linie: 24910.75
2026-02-09T12:18:00.000+01:00,MT BEARISH | CCI: -5.6 | ATR: 10.13 | Preis: 24945.5 | MT-Linie: 24946.59
2026-02-09T12:22:00.000+01:00,MT BULLISH | CCI: 49.7 | ATR: 10.02 | Preis: 24956.2 | MT-Linie: 24946.59
2026-02-09T12:24:00.000+01:00,MT BEARISH | CCI: -43.6 | ATR: 9.68 | Preis: 24949.3 | MT-Linie: 24946.59
2026-02-09T12:26:00.000+01:00,MT BULLISH | CCI: 53.1 | ATR: 9.83 | Preis: 24957 | MT-Linie: 24946.59
2026-02-09T12:43:00.000+01:00,MT BEARISH | CCI: -27.1 | ATR: 10.56 | Preis: 24956.2 | MT-Linie: 24965.6
2026-02-09T12:44:00.000+01:00,MT BULLISH | CCI: 5.7 | ATR: 10.94 | Preis: 24960.6 | MT-Linie: 24965.6
2026-02-09T12:45:00.000+01:00,MT BEARISH | CCI: -4.8 | ATR: 10.66 | Preis: 24959 | MT-Linie: 24965.6
2026-02-09T12:48:00.000+01:00,MT BULLISH | CCI: 36.3 | ATR: 11.37 | Preis: 24964.5 | MT-Linie: 24965.6
2026-02-09T12:52:00.000+01:00,MT BEARISH | CCI: -1.7 | ATR: 11.21 | Preis: 24961.7 | MT-Linie: 24965.6
2026-02-09T12:53:00.000+01:00,MT BULLISH | CCI: 23 | ATR: 10.61 | Preis: 24965.1 | MT-Linie: 24965.6
2026-02-09T12:58:00.000+01:00,MT BEARISH | CCI: -39.6 | ATR: 9.76 | Preis: 24961.5 | MT-Linie: 24965.6
2026-02-09T13:05:00.000+01:00,MT BULLISH | CCI: 79.3 | ATR: 14.44 | Preis: 24970.6 | MT-Linie: 24951.79
2026-02-09T13:43:00.000+01:00,MT BEARISH | CCI: -78.4 | ATR: 9.43 | Preis: 24995.4 | MT-Linie: 24995.63
2026-02-09T13:47:00.000+01:00,MT BULLISH | CCI: 168.9 | ATR: 11 | Preis: 25009.5 | MT-Linie: 24995.63
2026-02-09T13:49:00.000+01:00,MT BEARISH | CCI: -53.2 | ATR: 11.36 | Preis: 24995.9 | MT-Linie: 24995.63
2026-02-09T13:50:00.000+01:00,MT BULLISH | CCI: 6.9 | ATR: 10.68 | Preis: 24999.4 | MT-Linie: 24995.63
2026-02-09T13:52:00.000+01:00,MT BEARISH | CCI: -80.3 | ATR: 9.98 | Preis: 24994.9 | MT-Linie: 24995.63
2026-02-09T13:53:00.000+01:00,MT BULLISH | CCI: 15.6 | ATR: 9.44 | Preis: 25000.6 | MT-Linie: 24995.63
2026-02-09T13:54:00.000+01:00,MT BEARISH | CCI: -8.8 | ATR: 9.11 | Preis: 24999.5 | MT-Linie: 24995.63
2026-02-09T13:58:00.000+01:00,MT BULLISH | CCI: 54.7 | ATR: 9.58 | Preis: 25002.3 | MT-Linie: 24995.63
2026-02-09T14:27:00.000+01:00,MT BEARISH | CCI: -0.9 | ATR: 12.64 | Preis: 25034.4 | MT-Linie: 25043.49
2026-02-09T15:25:00.000+01:00,MT BULLISH | CCI: 4.1 | ATR: 11.83 | Preis: 24984.6 | MT-Linie: 24971.27
2026-02-09T15:28:00.000+01:00,MT BEARISH | CCI: -41.1 | ATR: 11.74 | Preis: 24976.1 | MT-Linie: 24971.27
2026-02-09T15:30:00.000+01:00,=== SITZUNG GESTARTET === US100 | Fenster: 15:30-17:55 | Modus: Mean Reversion | Max: 5
2026-02-09T15:32:00.000+01:00,>>> LONG ENTRY #1 | Mean Rev. @ 24942 | SL: 24867.71 (74.3 Pkt) | TP: 25014 (72 Pkt)
2026-02-09T15:32:00.000+01:00,    MT: BEAR | CCI: -139.5 | BB: [24916.75 / 24958.7 / 25000.65] | ATR: 33.77
2026-02-09T15:33:00.000+01:00,>>> LONG ENTRY #2 | Mean Rev. @ 24959.1 | SL: 24878.7 (80.4 Pkt) | TP: 25031.1 (72 Pkt)
2026-02-09T15:33:00.000+01:00,    MT: BEAR | CCI: -62.7 | BB: [24917 / 24958.94 / 25000.88] | ATR: 36.54
2026-02-09T15:37:00.000+01:00,MT BULLISH | CCI: 119.2 | ATR: 37.24 | Preis: 24999.4 | MT-Linie: 24957.86
2026-02-09T15:38:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 24987.4 | Grund: Short deaktiviert | BB: [24914.1 / 24955.77 / 24997.44]
2026-02-09T15:39:00.000+01:00,<<< POSITION GESCHLOSSEN | Vorher: 0.8 | Preis: 25036 | Netto PnL: 49.64 | Equity: 10049.64
2026-02-09T15:41:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25031.5 | Grund: Short deaktiviert | BB: [24934.51 / 24988.19 / 25041.87]
2026-02-09T15:43:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25038.3 | Grund: Short deaktiviert | BB: [24953.01 / 25007.51 / 25062.01]
2026-02-09T15:45:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25045.9 | Grund: Short deaktiviert | BB: [24980.33 / 25026.36 / 25072.39]
2026-02-09T15:47:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25081.1 | Grund: Short deaktiviert | BB: [25006.76 / 25047.26 / 25087.76]
2026-02-09T15:49:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25082.5 | Grund: Short deaktiviert | BB: [25030.45 / 25062.33 / 25094.21]
2026-02-09T15:53:00.000+01:00,>>> LONG ENTRY #3 | Mean Rev. @ 25026 | SL: 24952.23 (73.8 Pkt) | TP: 25098 (72 Pkt)
2026-02-09T15:53:00.000+01:00,    MT: BULL | CCI: 37.3 | BB: [25020.55 / 25058.73 / 25096.91] | ATR: 33.53
2026-02-09T15:54:00.000+01:00,>>> LONG ENTRY #4 | Mean Rev. @ 25032.5 | SL: 24960.53 (72 Pkt) | TP: 25104.5 (72 Pkt)
2026-02-09T15:54:00.000+01:00,    MT: BULL | CCI: 44.1 | BB: [25015.93 / 25055.82 / 25095.71] | ATR: 32.71
2026-02-09T15:58:00.000+01:00,BB SQUEEZE START | Breite: 0.216 (Avg: 0.237) | BB: [25012.89 / 25039.92 / 25066.95]
2026-02-09T16:02:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25019.2 | Grund: Short deaktiviert | BB: [25014.72 / 25033.49 / 25052.26]
2026-02-09T16:03:00.000+01:00,>>> LONG ENTRY #5 | Mean Rev. @ 25053.2 | SL: 24976.9 (76.3 Pkt) | TP: 25125.2 (72 Pkt)
2026-02-09T16:03:00.000+01:00,    MT: BULL | CCI: 58.8 | BB: [25015.95 / 25036.21 / 25056.47] | ATR: 34.68
2026-02-09T16:05:00.000+01:00,BB SQUEEZE ENDE | Breite: 0.279 (Avg: 0.253) | BB: [25010.92 / 25045.88 / 25080.84]
2026-02-09T16:06:00.000+01:00,<<< TEIL-EXIT | Pos: 1.2 -> 0.4 | Preis: 25109.3 | PnL offen: 22.2
2026-02-09T16:08:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25111.4 | Grund: Short deaktiviert | BB: [25014.37 / 25068.41 / 25122.45]
2026-02-09T16:11:00.000+01:00,<<< POSITION GESCHLOSSEN | Vorher: 0.4 | Preis: 25110.3 | Netto PnL: 123.12 | Equity: 10123.12
2026-02-09T16:12:00.000+01:00,BB SQUEEZE START | Breite: 0.242 (Avg: 0.289) | BB: [25070.37 / 25100.73 / 25131.09]
2026-02-09T16:17:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25134.9 | Grund: Short deaktiviert | BB: [25103.91 / 25122.3 / 25140.69]
2026-02-09T16:21:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25151.9 | Grund: Short deaktiviert | BB: [25114.93 / 25138.13 / 25161.33]
2026-02-09T16:27:00.000+01:00,MT BEARISH | CCI: -4.4 | ATR: 18.91 | Preis: 25092 | MT-Linie: 25121.01
2026-02-09T16:27:00.000+01:00,BB SQUEEZE ENDE | Breite: 0.273 (Avg: 0.266) | BB: [25096.13 / 25130.48 / 25164.83]
2026-02-09T16:30:00.000+01:00,MT BULLISH | CCI: 77.5 | ATR: 22.66 | Preis: 25139.6 | MT-Linie: 25116.98
2026-02-09T16:31:00.000+01:00,BB SQUEEZE START | Breite: 0.248 (Avg: 0.255) | BB: [25085.04 / 25116.22 / 25147.4]
2026-02-09T16:32:00.000+01:00,BB SQUEEZE ENDE | Breite: 0.265 (Avg: 0.251) | BB: [25084 / 25117.23 / 25150.46]
2026-02-09T16:33:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25142.8 | Grund: Short deaktiviert | BB: [25083.66 / 25118.16 / 25152.66]
2026-02-09T16:39:00.000+01:00,BB SQUEEZE START | Breite: 0.18 (Avg: 0.246) | BB: [25137.29 / 25159.95 / 25182.61]
2026-02-09T16:46:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25176 | Grund: Short deaktiviert | BB: [25161.36 / 25173.69 / 25186.02]
2026-02-09T16:51:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25195.3 | Grund: Short deaktiviert | BB: [25165.38 / 25183.38 / 25201.38]
2026-02-09T16:55:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25206.5 | Grund: Short deaktiviert | BB: [25174.54 / 25193.47 / 25212.4]
2026-02-09T16:57:00.000+01:00,BB SQUEEZE ENDE | Breite: 0.215 (Avg: 0.204) | BB: [25178.28 / 25205.35 / 25232.42]
2026-02-09T16:58:00.000+01:00,BB SQUEEZE START | Breite: 0.193 (Avg: 0.199) | BB: [25187.33 / 25211.66 / 25235.99]
2026-02-09T16:58:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25235.1 | Grund: Short deaktiviert | BB: [25187.33 / 25211.66 / 25235.99]
2026-02-09T17:00:00.000+01:00,BB SQUEEZE ENDE | Breite: 0.203 (Avg: 0.191) | BB: [25191.47 / 25217.1 / 25242.73]
2026-02-09T17:01:00.000+01:00,BB SQUEEZE START | Breite: 0.186 (Avg: 0.187) | BB: [25196.82 / 25220.25 / 25243.68]
2026-02-09T17:08:00.000+01:00,LONG SIGNAL BLOCKIERT | Preis: 25230.8 | Grund: Max Trades erreicht (5/5)
2026-02-09T17:09:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25228.1 | Grund: Short deaktiviert | BB: [25223.34 / 25229.41 / 25235.48]
2026-02-09T17:10:00.000+01:00,LONG SIGNAL BLOCKIERT | Preis: 25238.8 | Grund: Max Trades erreicht (5/5)
2026-02-09T17:13:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25232.2 | Grund: Short deaktiviert | BB: [25224.76 / 25232.66 / 25240.56]
2026-02-09T17:15:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25243.3 | Grund: Short deaktiviert | BB: [25224.44 / 25234.94 / 25245.44]
2026-02-09T17:16:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25243.6 | Grund: Short deaktiviert | BB: [25225.71 / 25236.4 / 25247.09]
2026-02-09T17:18:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25246.7 | Grund: Short deaktiviert | BB: [25231.49 / 25240.55 / 25249.61]
2026-02-09T17:20:00.000+01:00,LONG SIGNAL BLOCKIERT | Preis: 25233.8 | Grund: Max Trades erreicht (5/5)
2026-02-09T17:21:00.000+01:00,LONG SIGNAL BLOCKIERT | Preis: 25234.1 | Grund: Max Trades erreicht (5/5)
2026-02-09T17:25:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25244 | Grund: Short deaktiviert | BB: [25232.34 / 25241.73 / 25251.12]
2026-02-09T17:27:00.000+01:00,BB SQUEEZE ENDE | Breite: 0.118 (Avg: 0.113) | BB: [25229.74 / 25244.65 / 25259.56]
2026-02-09T17:33:00.000+01:00,BB SQUEEZE START | Breite: 0.102 (Avg: 0.109) | BB: [25248.99 / 25261.83 / 25274.67]
2026-02-09T17:38:00.000+01:00,LONG SIGNAL BLOCKIERT | Preis: 25257.4 | Grund: Max Trades erreicht (5/5)
2026-02-09T17:43:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25273 | Grund: Short deaktiviert | BB: [25251.64 / 25263.2 / 25274.76]
2026-02-09T17:44:00.000+01:00,BB SQUEEZE ENDE | Breite: 0.102 (Avg: 0.1) | BB: [25251.65 / 25264.48 / 25277.31]
2026-02-09T17:47:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25292.3 | Grund: Short deaktiviert | BB: [25256.89 / 25276.02 / 25295.15]
